uni.id,focal.id.old,date,time,subj.id,gutt.score,behavior,success,right.hand,left.hand,both.hands,total,species,comments
1,161,2024.05.17,,Quindoline,0.2,food.pounding,Y,1,0,0,1,clam,
2,308,2024.06.21,,Granny,0.2,food.pounding,Y,0,1,0,1,clam,
3,312,2024.06.22,,Betina,0.2,food.pounding,Y,0,1,0,1,clam,
4,325,2024.06.24,,Iyla,0.2,food.pounding,Y,1,0,0,1,clam,
5,572,2024.06.09,,Lip,0.2,food.pounding,Y,0,1,0,1,clam,
6,616,2024.10.21,,Dandi,0.2,food.pounding,Y,0,1,0,2,clam,
6,616,2024.10.21,,Dandi,0.2,food.pounding,Y,0,1,0,2,clam,
7,617,2024.10.21,,Aura,0.2,food.pounding,Y,1,0,0,1,clam,
8,627,2024.10.23,,Iyla,0.2,food.pounding,Y,1,0,0,3,clam,
8,627,2024.10.23,,Iyla,0.2,food.pounding,Y,1,0,0,3,clam,
8,627,2024.10.23,,Iyla,0.2,food.pounding,Y,1,0,0,3,clam,
9,628,2024.10.23,,Jim_lim,0.2,food.pounding,Y,0,1,0,1,clam,
10,629,2024.10.23,,Aura,0.2,food.pounding,Y,1,0,0,2,clam,
10,629,2024.10.23,,Aura,0.2,food.pounding,Y,1,0,0,2,clam,
11,630,2024.10.23,,Granny,0.2,food.pounding,Y,0,1,0,9,clam,
11,630,2024.10.23,,Granny,0.2,food.pounding,Y,0,1,0,9,clam,
11,630,2024.10.23,,Granny,0.2,food.pounding,Y,0,1,0,9,clam,
11,630,2024.10.23,,Granny,0.2,food.pounding,Y,0,1,0,9,clam,
11,630,2024.10.23,,Granny,0.2,food.pounding,Y,0,1,0,9,clam,
11,630,2024.10.23,,Granny,0.2,food.pounding,Y,0,1,0,9,clam,
11,630,2024.10.23,,Granny,0.2,food.pounding,Y,0,1,0,9,clam,
11,630,2024.10.23,,Granny,0.2,food.pounding,Y,0,1,0,9,clam,
11,630,2024.10.23,,Granny,0.2,food.pounding,Y,0,1,0,9,clam,
12,641,2024.10.25,,Granny,0.2,food.pounding,Y,0,1,0,1,clam,
13,651,2024.10.26,,Dandi,0.2,food.pounding,Y,0,1,0,2,clam,
13,651,2024.10.26,,Dandi,0.2,food.pounding,Y,0,1,0,2,clam,
14,662,2024.10.28,,Quindoline,0.2,food.pounding,Y,0,1,0,1,clam,
15,668,2024.10.29,,Oreo,0.2,food.pounding,Y,0,1,0,1,clam,
16,669,2024.10.29,,Betina,0.2,food.pounding,Y,0,1,0,5,clam,
16,669,2024.10.29,,Betina,0.2,food.pounding,Y,0,1,0,5,clam,
16,669,2024.10.29,,Betina,0.2,food.pounding,Y,0,1,0,5,clam,
16,669,2024.10.29,,Betina,0.2,food.pounding,Y,0,1,0,5,clam,
16,669,2024.10.29,,Betina,0.2,food.pounding,Y,0,1,0,5,clam,
17,670,2024.10.29,,Iyla,0.2,food.pounding,Y,1,0,0,9,clam,
17,670,2024.10.29,,Iyla,0.2,food.pounding,Y,1,0,0,9,clam,
17,670,2024.10.29,,Iyla,0.2,food.pounding,Y,1,0,0,9,clam,
17,670,2024.10.29,,Iyla,0.2,food.pounding,Y,1,0,0,9,clam,
17,670,2024.10.29,,Iyla,0.2,food.pounding,Y,1,0,0,9,clam,
17,670,2024.10.29,,Iyla,0.2,food.pounding,Y,1,0,0,9,clam,
17,670,2024.10.29,,Iyla,0.2,food.pounding,Y,1,0,0,9,clam,
17,670,2024.10.29,,Iyla,0.2,food.pounding,Y,1,0,0,9,clam,
17,670,2024.10.29,,Iyla,0.2,food.pounding,Y,1,0,0,9,clam,
18,671,2024.10.29,,Harley,0.2,food.pounding,Y,0,1,0,4,clam,
18,671,2024.10.29,,Harley,0.2,food.pounding,Y,0,1,0,4,clam,
18,671,2024.10.29,,Harley,0.2,food.pounding,Y,0,1,0,4,clam,
18,671,2024.10.29,,Harley,0.2,food.pounding,Y,0,1,0,4,clam,
