subj.id,focal.id.old,uni.id,date,time,gutt.score,right.hand,left.hand,both.hands,total
Kal,NA,1,2023.05.13,11:30:00,0.6,1,0,0,1
Robin,NA,2,2023.11.03,12:25:00,0.6,0,1,0,1
Lip,335,3,2024.01.07,NA,0.8,0,77,0,77
Whitney,333,4,2024.01.07,NA,0.8,50,0,0,50
Granny,366,5,2024.01.08,NA,0.8,0,27,0,27
Jim_lim,367,6,2024.01.08,NA,0.8,0,24,0,24
Lip,365,7,2024.01.08,NA,0.8,0,91,0,91
Oreo,364,8,2024.01.08,NA,0.8,0,32,0,32
Quindoline,370,9,2024.01.08,NA,0.8,52,0,0,52
Santa,368,10,2024.01.08,NA,0.8,0,47,0,47
Taipan,363,11,2024.01.08,NA,0.8,19,0,0,19
Yaiko,369,12,2024.01.08,NA,0.8,43,0,0,43
Dandi,693,13,2024.01.11,NA,0.8,0,1,0,1
Dandi,693,14,2024.01.11,NA,0.2,0,2,0,2
Flame,692,15,2024.01.11,NA,0.8,0,23,0,23
Harley,691,16,2024.01.11,NA,0.8,0,6,0,6
Harley,691,17,2024.01.11,NA,0.2,0,2,0,2
Cacao,552,18,2024.02.09,NA,0.8,12,0,0,12
Dandi,551,19,2024.02.09,NA,0.8,0,19,0,19
Flame,554,20,2024.02.09,NA,0.8,0,5,0,5
Lip,553,21,2024.02.09,NA,0.8,0,76,0,76
Oreo,539,22,2024.02.09,NA,0.8,0,1,0,1
Belanda,695,23,2024.02.11,NA,0.2,3,0,0,3
Jim_lim,708,24,2024.02.11,NA,0.8,0,11,0,11
Robin,707,25,2024.02.11,NA,0.8,0,5,0,5
Robin,707,26,2024.02.11,NA,0.2,0,15,0,15
Granny,849,27,2024.02.12,NA,0.8,0,3,0,3
Granny,849,28,2024.02.12,NA,0.2,0,2,0,2
Bat,12,29,2024.03.04,NA,0.8,38,0,0,38
Cacao,17,30,2024.03.04,NA,0.8,28,0,0,28
Dandi,13,31,2024.03.04,NA,0.8,0,44,0,44
Flame,14,32,2024.03.04,NA,0.8,0,54,0,54
