subj.id,focal.id.old,uni.id,date,time,gutt.score,right.hand,left.hand,total,n_trials,trial.id,HI
Aura,617,375,2024.10.21,NA,0.2,1,0,1,4,1,1
Aura,629,383,2024.10.23,NA,0.2,2,0,2,4,2,1
Aura,916,585,2024.12.15,NA,0.2,7,0,7,4,3,1
Aura,1259,630,2025.01.03,NA,0.2,1,0,1,4,4,1
Aura,568,43,2024.04.09,NA,0.8,9,0,9,32,1,1
Aura,60,63,2024.04.14,NA,0.8,40,0,40,32,2,1
Aura,136,96,2024.05.13,NA,0.8,67,0,67,32,3,1
Aura,171,117,2024.05.20,NA,0.8,95,0,95,32,4,1
Aura,196,137,2024.05.28,NA,0.8,46,0,46,32,5,1
Aura,585,151,2024.06.09,NA,0.8,28,0,28,32,6,1
Aura,262,159,2024.06.14,NA,0.8,105,0,105,32,7,1
Aura,279,171,2024.06.17,NA,0.8,62,0,62,32,8,1
Aura,324,205,2024.06.24,NA,0.8,44,0,44,32,9,1
Aura,348,237,2024.07.21,NA,0.8,31,0,31,32,10,1
Aura,362,245,2024.07.25,NA,0.8,46,0,46,32,11,1
Aura,443,255,2024.08.16,NA,0.8,3,0,3,32,12,1
Aura,451,263,2024.08.18,NA,0.8,31,0,31,32,13,1
Aura,466,279,2024.08.20,NA,0.8,26,0,26,32,14,1
Aura,479,281,2024.08.22,NA,0.8,2,0,2,32,15,1
Aura,497,298,2024.08.24,NA,0.8,10,0,10,32,16,1
Aura,522,306,2024.08.29,NA,0.8,62,0,62,32,17,1
Aura,116,321,2024.09.05,NA,0.8,50,0,50,32,18,1
Aura,891,329,2024.09.12,NA,0.8,65,0,65,32,19,1
Aura,413,351,2024.10.08,NA,0.8,33,0,33,32,20,1
Aura,595,360,2024.10.09,NA,0.8,18,0,18,32,21,1
Aura,617,374,2024.10.21,NA,0.8,1,0,1,32,22,1
Aura,629,382,2024.10.23,NA,0.8,31,0,31,32,23,1
Aura,659,422,2024.10.28,NA,0.8,11,0,11,32,24,1
Aura,257,554,2024.12.06,NA,0.8,37,0,37,32,25,1
Aura,956,606,2024.12.20,NA,0.8,9,0,9,32,26,1
Aura,1259,629,2025.01.03,NA,0.8,29,0,29,32,27,1
Aura,1118,697,2025.01.25,NA,0.8,32,0,32,32,28,1
Aura,1136,712,2025.01.27,NA,0.8,19,0,19,32,29,1
Aura,1331,793,2025.03.19,NA,0.8,83,0,83,32,30,1
Aura,1025,832,2025.07.01,NA,0.8,76,0,76,32,31,1
Aura,1053,863,2025.12.01,NA,0.8,41,0,41,32,32,1
Babosa,782,495,2024.11.18,NA,0.2,1,0,1,4,1,1
Babosa,1114,699,2025.01.25,NA,0.2,0,1,1,4,2,-1
Babosa,1031,843,2025.08.01,NA,0.2,1,0,1,4,3,1
Babosa,1307,853,2025.10.03,NA,0.2,0,1,1,4,4,-1
Babosa,NA,637,2025.01.06,NA,0.4,0,8,8,3,1,-1
Babosa,NA,645,2025.01.08,NA,0.4,0,3,3,3,2,-1
Babosa,1346,804,2025.03.21,NA,0.4,1,0,1,3,3,1
Babosa,397,217,2024.07.08,NA,0.8,67,67,79,15,1,0
Babosa,358,240,2024.07.23,NA,0.8,46,47,55,15,2,-0.010752688172043012
Babosa,610,369,2024.10.19,NA,0.8,18,15,23,15,3,0.09090909090909091
Babosa,664,423,2024.10.28,NA,0.8,32,30,35,15,4,0.03225806451612903
Babosa,902,479,2024.11.12,NA,0.8,27,25,52,15,5,0.038461538461538464
Babosa,782,494,2024.11.18,NA,0.8,6,15,21,15,6,-0.42857142857142855
Babosa,798,504,2024.11.21,NA,0.8,2,0,2,15,7,1
Babosa,820,524,2024.11.24,NA,0.8,5,0,5,15,8,1
Babosa,1099,688,2025.01.19,NA,0.8,14,16,25,15,9,-0.06666666666666667
Babosa,1114,698,2025.01.25,NA,0.8,16,11,23,15,10,0.18518518518518517
Babosa,1222,748,2025.02.22,NA,0.8,9,11,20,15,11,-0.1
Babosa,1346,803,2025.03.21,NA,0.8,18,11,25,15,12,0.2413793103448276
Babosa,1274,830,2025.05.03,NA,0.8,23,13,34,15,13,0.2777777777777778
Babosa,1031,842,2025.08.01,NA,0.8,32,17,44,15,14,0.30612244897959184
Babosa,1307,852,2025.10.03,NA,0.8,23,11,33,15,15,0.35294117647058826
Bat,653,411,2024.10.26,11:29:44,0.6,2,0,2,3,1,1
Bat,NA,449,2024.10.30,NA,0.6,1,0,1,3,2,1
Bat,NA,734,2025.02.16,14:38:00,0.6,1,0,1,3,3,1
Bat,12,29,2024.03.04,NA,0.8,38,0,38,9,1,1
Bat,65,67,2024.04.17,NA,0.8,42,0,42,9,2,1
Bat,187,130,2024.05.23,NA,0.8,63,0,63,9,3,1
Bat,103,322,2024.09.05,NA,0.8,4,0,4,9,4,1
Bat,653,412,2024.10.26,NA,0.8,19,0,19,9,5,1
Bat,769,496,2024.11.18,NA,0.8,5,0,5,9,6,1
Bat,739,571,2024.12.11,NA,0.8,62,0,62,9,7,1
Bat,1219,749,2025.02.22,NA,0.8,31,0,31,9,8,1
Bat,1236,762,2025.02.24,NA,0.8,21,0,21,9,9,1
Belanda,695,23,2024.02.11,NA,0.2,3,0,3,8,1,1
Belanda,870,227,2024.07.12,NA,0.2,3,0,3,8,2,1
Belanda,NA,282,2024.08.22,NA,0.2,1,0,1,8,3,1
Belanda,892,331,2024.09.12,NA,0.2,17,0,17,8,4,1
Belanda,NA,435,2024.10.29,NA,0.2,1,0,1,8,5,1
Belanda,992,723,2025.02.01,NA,0.2,11,0,11,8,6,1
Belanda,1306,854,2025.10.03,NA,0.2,4,0,4,8,7,1
Belanda,1043,857,2025.11.01,NA,0.2,1,0,1,8,8,1
Belanda,NA,216,2024.07.02,NA,0.6,1,0,1,2,1,1
Belanda,NA,332,2024.09.12,NA,0.6,1,0,1,2,2,1
Belanda,263,160,2024.06.14,NA,0.8,5,0,5,3,1,1
Belanda,870,226,2024.07.12,NA,0.8,4,0,4,3,2,1
Belanda,892,330,2024.09.12,NA,0.8,2,0,2,3,3,1
Betina,312,200,2024.06.22,NA,0.2,0,1,1,2,1,-1
Betina,669,437,2024.10.29,NA,0.2,0,5,5,2,2,-1
Betina,63,64,2024.04.14,NA,0.8,0,24,24,12,1,-1
Betina,74,68,2024.04.17,NA,0.8,0,6,6,12,2,-1
Betina,298,187,2024.06.19,NA,0.8,0,4,4,12,3,-1
Betina,312,199,2024.06.22,NA,0.8,0,75,75,12,4,-1
Betina,440,256,2024.08.16,NA,0.8,0,9,9,12,5,-1
Betina,467,283,2024.08.22,NA,0.8,0,1,1,12,6,-1
Betina,403,352,2024.10.08,NA,0.8,0,9,9,12,7,-1
Betina,642,400,2024.10.25,NA,0.8,0,7,7,12,8,-1
Betina,669,436,2024.10.29,NA,0.8,0,5,5,12,9,-1
Betina,795,505,2024.11.21,NA,0.8,0,10,10,12,10,-1
Betina,1204,738,2025.02.18,NA,0.8,0,24,24,12,11,-1
Betina,1218,740,2025.02.21,NA,0.8,0,15,15,12,12,-1
Dandi,693,14,2024.01.11,NA,0.2,0,2,2,8,1,-1
Dandi,722,49,2024.04.11,NA,0.2,0,7,7,8,2,-1
Dandi,616,378,2024.10.21,NA,0.2,0,2,2,8,3,-1
Dandi,651,414,2024.10.26,NA,0.2,0,2,2,8,4,-1
Dandi,686,450,2024.10.30,NA,0.2,0,2,2,8,5,-1
Dandi,771,497,2024.11.18,NA,0.2,0,1,1,8,6,-1
Dandi,805,514,2024.11.22,NA,0.2,0,1,1,8,7,-1
Dandi,816,526,2024.11.24,NA,0.2,0,1,1,8,8,-1
Dandi,NA,635,2025.01.05,NA,0.4,0,3,3,2,1,-1
Dandi,NA,638,2025.01.06,NA,0.4,0,2,2,2,2,-1
Dandi,667,421,2024.10.28,16:45:15,0.6,0,2,2,6,1,-1
Dandi,693,458,2024.11.01,15:23:16,0.6,0,1,1,6,2,-1
Dandi,NA,461,2024.11.04,NA,0.6,0,1,1,6,3,-1
Dandi,734,478,2024.11.12,09:48:04,0.6,0,1,1,6,4,-1
Dandi,922,584,2024.12.15,10:17:32,0.6,0,3,3,6,5,-1
Dandi,NA,586,2024.12.15,NA,0.6,0,1,1,6,6,-1
Dandi,693,13,2024.01.11,NA,0.8,0,1,1,21,1,-1
Dandi,551,19,2024.02.09,NA,0.8,0,19,19,21,2,-1
Dandi,13,31,2024.03.04,NA,0.8,0,44,44,21,3,-1
Dandi,722,48,2024.04.11,NA,0.8,0,1,1,21,4,-1
Dandi,62,65,2024.04.14,NA,0.8,0,26,26,21,5,-1
Dandi,71,69,2024.04.17,NA,0.8,0,8,8,21,6,-1
Dandi,158,111,2024.05.17,NA,0.8,0,9,9,21,7,-1
Dandi,30,141,2024.06.04,NA,0.8,0,8,8,21,8,-1
Dandi,573,152,2024.06.09,NA,0.8,0,3,3,21,9,-1
Dandi,283,172,2024.06.17,NA,0.8,0,1,1,21,10,-1
Dandi,500,299,2024.08.24,NA,0.8,0,1,1,21,11,-1
Dandi,244,343,2024.10.06,NA,0.8,0,20,20,21,12,-1
Dandi,616,377,2024.10.21,NA,0.8,0,6,6,21,13,-1
Dandi,651,413,2024.10.26,NA,0.8,0,11,11,21,14,-1
Dandi,667,424,2024.10.28,NA,0.8,0,1,1,21,15,-1
Dandi,417,469,2024.11.08,NA,0.8,0,71,71,21,16,-1
Dandi,805,513,2024.11.22,NA,0.8,0,4,4,21,17,-1
Dandi,816,525,2024.11.24,NA,0.8,0,3,3,21,18,-1
Dandi,913,579,2024.12.13,NA,0.8,0,12,12,21,19,-1
Dandi,1221,750,2025.02.22,NA,0.8,0,5,5,21,20,-1
Dandi,1006,822,2025.05.01,NA,0.8,0,4,4,21,21,-1
Flame,888,334,2024.09.12,NA,0.2,0,1,1,5,1,-1
Flame,731,475,2024.11.11,NA,0.2,0,1,1,5,2,-1
Flame,938,597,2024.12.18,NA,0.2,0,1,1,5,3,-1
Flame,952,601,2024.12.19,NA,0.2,0,1,1,5,4,-1
Flame,1103,692,2025.01.20,NA,0.2,0,1,1,5,5,-1
Flame,692,15,2024.01.11,NA,0.8,0,23,23,28,1,-1
Flame,554,20,2024.02.09,NA,0.8,0,5,5,28,2,-1
Flame,14,32,2024.03.04,NA,0.8,0,54,54,28,3,-1
Flame,557,44,2024.04.09,NA,0.8,0,2,2,28,4,-1
Flame,66,70,2024.04.17,NA,0.8,0,30,30,28,5,-1
Flame,864,93,2024.05.12,NA,0.8,0,4,4,28,6,-1
Flame,137,97,2024.05.13,NA,0.8,0,97,97,28,7,-1
Flame,149,102,2024.05.16,NA,0.8,0,22,22,28,8,-1
Flame,375,144,2024.06.08,NA,0.8,0,77,77,28,9,-1
Flame,282,173,2024.06.17,NA,0.8,0,47,47,28,10,-1
Flame,587,222,2024.07.09,NA,0.8,0,23,23,28,11,-1
Flame,456,264,2024.08.18,NA,0.8,0,35,35,28,12,-1
Flame,888,333,2024.09.12,NA,0.8,0,28,28,28,13,-1
Flame,247,465,2024.11.06,NA,0.8,0,33,33,28,14,-1
Flame,420,470,2024.11.08,NA,0.8,0,11,11,28,15,-1
Flame,731,474,2024.11.11,NA,0.8,0,14,14,28,16,-1
Flame,830,537,2024.11.27,NA,0.8,0,71,71,28,17,-1
Flame,57,549,2024.12.04,NA,0.8,0,51,51,28,18,-1
Flame,915,580,2024.12.13,NA,0.8,0,18,18,28,19,-1
Flame,938,596,2024.12.18,NA,0.8,0,5,5,28,20,-1
Flame,965,611,2024.12.22,NA,0.8,0,81,81,28,21,-1
Flame,983,621,2025.01.01,NA,0.8,0,83,83,28,22,-1
Flame,1103,691,2025.01.20,NA,0.8,0,62,62,28,23,-1
Flame,1137,713,2025.01.27,NA,0.8,0,43,43,28,24,-1
Flame,1160,727,2025.02.02,NA,0.8,0,70,70,28,25,-1
Flame,1193,736,2025.02.17,NA,0.8,0,67,67,28,26,-1
Flame,1237,763,2025.02.24,NA,0.8,0,60,60,28,27,-1
Flame,1056,864,2025.12.01,NA,0.8,0,67,67,28,28,-1
Granny,849,28,2024.02.12,NA,0.2,0,2,2,9,1,-1
Granny,709,51,2024.04.11,NA,0.2,0,4,4,9,2,-1
Granny,308,192,2024.06.21,NA,0.2,0,1,1,9,3,-1
Granny,630,385,2024.10.23,NA,0.2,0,9,9,9,4,-1
Granny,641,403,2024.10.25,NA,0.2,0,1,1,9,5,-1
Granny,766,493,2024.11.16,NA,0.2,0,2,2,9,6,-1
Granny,822,528,2024.11.24,NA,0.2,0,5,5,9,7,-1
Granny,955,608,2024.12.20,NA,0.2,0,2,2,9,8,-1
Granny,1041,859,2025.11.01,NA,0.2,0,1,1,9,9,-1
Granny,NA,652,2025.01.11,NA,0.4,5,0,5,3,1,1
Granny,NA,658,2025.01.12,NA,0.4,5,0,5,3,2,1
Granny,NA,751,2025.02.22,NA,0.4,5,1,5,3,3,0.6666666666666666
Granny,22,38,2024.04.04,12:12:29,0.6,0,2,2,13,1,-1
Granny,NA,379,2024.10.21,NA,0.6,0,1,1,13,2,-1
Granny,NA,386,2024.10.23,NA,0.6,0,1,1,13,3,-1
Granny,NA,387,2024.10.23,NA,0.6,0,1,1,13,4,-1
Granny,NA,388,2024.10.23,NA,0.6,0,1,1,13,5,-1
Granny,NA,466,2024.11.06,NA,0.6,0,1,1,13,6,-1
Granny,802,502,2024.11.21,11:40:53,0.6,0,3,3,13,7,-1
Granny,NA,566,2024.12.09,NA,0.6,0,1,1,13,8,-1
Granny,NA,714,2025.01.27,NA,0.6,0,1,1,13,9,-1
Granny,NA,715,2025.01.27,NA,0.6,0,1,1,13,10,-1
Granny,NA,716,2025.01.27,NA,0.6,0,1,1,13,11,-1
Granny,NA,722,2025.01.31,NA,0.6,0,1,1,13,12,-1
Granny,NA,728,2025.02.02,NA,0.6,0,1,1,13,13,-1
Granny,366,5,2024.01.08,NA,0.8,0,27,27,30,1,-1
Granny,849,27,2024.02.12,NA,0.8,0,3,3,30,2,-1
Granny,709,50,2024.04.11,NA,0.8,0,38,38,30,3,-1
Granny,385,145,2024.06.08,NA,0.8,0,48,48,30,4,-1
Granny,308,191,2024.06.21,NA,0.8,0,35,35,30,5,-1
Granny,871,228,2024.07.12,NA,0.8,0,57,57,30,6,-1
Granny,351,241,2024.07.23,NA,0.8,0,30,30,30,7,-1
Granny,438,252,2024.08.15,NA,0.8,0,3,3,30,8,-1
Granny,448,265,2024.08.18,NA,0.8,0,19,19,30,9,-1
Granny,460,274,2024.08.19,NA,0.8,0,74,74,30,10,-1
Granny,469,284,2024.08.22,NA,0.8,0,32,32,30,11,-1
Granny,525,307,2024.08.29,NA,0.8,0,13,13,30,12,-1
Granny,535,314,2024.08.30,NA,0.8,0,31,31,30,13,-1
Granny,114,323,2024.09.05,NA,0.8,0,47,47,30,14,-1
Granny,889,335,2024.09.12,NA,0.8,0,56,56,30,15,-1
Granny,608,361,2024.10.09,NA,0.8,0,50,50,30,16,-1
Granny,613,370,2024.10.19,NA,0.8,0,55,55,30,17,-1
Granny,630,384,2024.10.23,NA,0.8,0,32,32,30,18,-1
Granny,641,402,2024.10.25,NA,0.8,0,26,26,30,19,-1
Granny,657,415,2024.10.26,NA,0.8,0,12,12,30,20,-1
Granny,672,438,2024.10.29,NA,0.8,0,5,5,30,21,-1
Granny,766,492,2024.11.16,NA,0.8,0,1,1,30,22,-1
Granny,822,527,2024.11.24,NA,0.8,0,5,5,30,23,-1
Granny,422,560,2024.12.08,NA,0.8,0,42,42,30,24,-1
Granny,914,581,2024.12.13,NA,0.8,0,39,39,30,25,-1
Granny,955,607,2024.12.20,NA,0.8,0,5,5,30,26,-1
Granny,982,622,2025.01.01,NA,0.8,0,75,75,30,27,-1
Granny,1105,693,2025.01.20,NA,0.8,0,68,68,30,28,-1
Granny,1308,855,2025.10.03,NA,0.8,0,24,24,30,29,-1
Granny,1041,858,2025.11.01,NA,0.8,0,53,53,30,30,-1
Harley,691,17,2024.01.11,NA,0.2,0,2,2,6,1,-1
Harley,853,59,2024.04.12,NA,0.2,0,1,1,6,2,-1
Harley,671,440,2024.10.29,NA,0.2,0,4,4,6,3,-1
Harley,846,542,2024.11.30,NA,0.2,0,9,9,6,4,-1
Harley,737,573,2024.12.11,NA,0.2,0,3,3,6,5,-1
Harley,951,602,2024.12.19,NA,0.2,0,4,4,6,6,-1
Harley,951,603,2024.12.19,NA,0.4,3,0,3,2,1,1
Harley,NA,609,2024.12.20,NA,0.4,1,0,1,2,2,1
Harley,691,457,2024.11.01,14:36:09,0.6,0,1,1,2,1,-1
Harley,NA,460,2024.11.01,NA,0.6,0,1,1,2,2,-1
Harley,691,16,2024.01.11,NA,0.8,0,6,6,19,1,-1
Harley,570,45,2024.04.09,NA,0.8,0,33,33,19,2,-1
Harley,61,66,2024.04.14,NA,0.8,0,52,52,19,3,-1
Harley,232,88,2024.05.06,NA,0.8,0,49,49,19,4,-1
Harley,153,103,2024.05.16,NA,0.8,0,43,43,19,5,-1
Harley,173,119,2024.05.20,NA,0.8,0,76,76,19,6,-1
Harley,197,138,2024.05.28,NA,0.8,0,15,15,19,7,-1
Harley,376,146,2024.06.08,NA,0.8,0,40,40,19,8,-1
Harley,261,162,2024.06.14,NA,0.8,0,65,65,19,9,-1
Harley,281,174,2024.06.17,NA,0.8,0,52,52,19,10,-1
Harley,531,315,2024.08.30,NA,0.8,0,45,45,19,11,-1
Harley,671,439,2024.10.29,NA,0.8,0,28,28,19,12,-1
Harley,846,541,2024.11.30,NA,0.8,0,2,2,19,13,-1
Harley,737,572,2024.12.11,NA,0.8,0,19,19,19,14,-1
Harley,912,582,2024.12.13,NA,0.8,0,23,23,19,15,-1
Harley,927,591,2024.12.16,NA,0.8,0,2,2,19,16,-1
Harley,1082,676,2025.01.16,NA,0.8,0,48,48,19,17,-1
Harley,1109,700,2025.01.25,NA,0.8,0,6,6,19,18,-1
Harley,1284,836,2025.07.03,NA,0.8,0,18,18,19,19,-1
Iyla,140,101,2024.05.14,NA,0,42,5,47,3,1,0.7872340425531915
Iyla,164,120,2024.05.20,NA,0,6,4,7,3,2,0.2
Iyla,1357,810,2025.03.24,NA,0,27,11,37,3,3,0.42105263157894735
Iyla,855,61,2024.04.12,NA,0.2,3,1,4,10,1,0.5
Iyla,325,207,2024.06.24,NA,0.2,1,0,1,10,2,1
Iyla,875,229,2024.07.12,NA,0.2,1,0,1,10,3,1
Iyla,627,390,2024.10.23,NA,0.2,3,0,3,10,4,1
Iyla,670,442,2024.10.29,NA,0.2,9,0,9,10,5,1
Iyla,675,443,2024.10.29,NA,0.2,1,0,1,10,6,1
Iyla,828,534,2024.11.26,NA,0.2,27,0,27,10,7,1
Iyla,736,574,2024.12.11,NA,0.2,15,0,15,10,8,1
Iyla,981,624,2025.01.01,NA,0.2,5,0,5,10,9,1
Iyla,1285,838,2025.07.03,NA,0.2,1,0,1,10,10,1
Iyla,NA,625,2025.01.01,NA,0.4,4,0,4,4,1,1
Iyla,NA,627,2025.01.02,NA,0.4,3,0,3,4,2,1
Iyla,NA,639,2025.01.06,NA,0.4,8,0,8,4,3,1
Iyla,NA,668,2025.01.15,NA,0.4,22,0,22,4,4,1
Iyla,NA,416,2024.10.26,NA,0.6,1,0,1,5,1,1
Iyla,NA,467,2024.11.06,NA,0.6,1,0,1,5,2,1
Iyla,NA,515,2024.11.22,NA,0.6,1,0,1,5,3,1
Iyla,948,595,2024.12.18,15:36:49,0.6,1,0,1,5,4,1
Iyla,NA,776,2025.03.03,NA,0.6,1,0,1,5,5,1
Iyla,855,60,2024.04.12,NA,0.8,39,0,39,22,1,1
Iyla,67,71,2024.04.17,NA,0.8,27,0,27,22,2,1
Iyla,89,75,2024.04.18,NA,0.8,11,0,11,22,3,1
Iyla,100,82,2024.04.19,NA,0.8,2,0,2,22,4,1
Iyla,162,112,2024.05.17,NA,0.8,27,0,27,22,5,1
Iyla,31,142,2024.06.04,NA,0.8,38,0,38,22,6,1
Iyla,285,175,2024.06.17,NA,0.8,68,0,68,22,7,1
Iyla,309,193,2024.06.21,NA,0.8,13,0,13,22,8,1
Iyla,325,206,2024.06.24,NA,0.8,1,0,1,22,9,1
Iyla,463,275,2024.08.19,NA,0.8,9,0,9,22,10,1
Iyla,481,285,2024.08.22,NA,0.8,3,0,3,22,11,1
Iyla,496,291,2024.08.23,NA,0.8,8,0,8,22,12,1
Iyla,115,324,2024.09.05,NA,0.8,38,0,38,22,13,1
Iyla,239,344,2024.10.06,NA,0.8,3,0,3,22,14,1
Iyla,415,354,2024.10.08,NA,0.8,25,0,25,22,15,1
Iyla,596,362,2024.10.09,NA,0.8,13,0,13,22,16,1
Iyla,627,389,2024.10.23,NA,0.8,46,0,46,22,17,1
Iyla,670,441,2024.10.29,NA,0.8,12,0,12,22,18,1
Iyla,259,556,2024.12.06,NA,0.8,6,0,6,22,19,1
Iyla,981,623,2025.01.01,NA,0.8,8,0,8,22,20,1
Iyla,1353,809,2025.03.24,NA,0.8,27,0,27,22,21,1
Iyla,1285,837,2025.07.03,NA,0.8,2,0,2,22,22,1
Jim_lim,163,121,2024.05.20,NA,0,16,4,20,3,1,0.6
Jim_lim,1279,778,2025.03.05,NA,0,17,6,23,3,2,0.4782608695652174
Jim_lim,NA,795,2025.03.20,NA,0,7,6,17,3,3,0.07692307692307693
Jim_lim,628,392,2024.10.23,NA,0.2,0,1,1,2,1,-1
Jim_lim,783,501,2024.11.19,NA,0.2,0,1,1,2,2,-1
Jim_lim,628,393,2024.10.23,NA,0.4,0,1,1,2,1,-1
Jim_lim,NA,659,2025.01.12,NA,0.4,0,6,6,2,2,-1
Jim_lim,367,6,2024.01.08,NA,0.8,0,24,24,27,1,-1
Jim_lim,708,24,2024.02.11,NA,0.8,0,11,11,27,2,-1
Jim_lim,720,52,2024.04.11,NA,0.8,0,2,2,27,3,-1
Jim_lim,82,76,2024.04.18,NA,0.8,0,24,24,27,4,-1
Jim_lim,147,104,2024.05.16,NA,0.8,0,48,48,27,5,-1
Jim_lim,184,131,2024.05.23,NA,0.8,0,63,63,27,6,-1
Jim_lim,726,157,2024.06.11,NA,0.8,0,2,2,27,7,-1
Jim_lim,303,194,2024.06.21,NA,0.8,0,6,6,27,8,-1
Jim_lim,332,212,2024.06.29,NA,0.8,0,1,1,27,9,-1
Jim_lim,867,230,2024.07.12,NA,0.8,0,63,63,27,10,-1
Jim_lim,439,257,2024.08.16,NA,0.8,0,48,48,27,11,-1
Jim_lim,457,266,2024.08.18,NA,0.8,0,4,4,27,12,-1
Jim_lim,488,292,2024.08.23,NA,0.8,0,12,12,27,13,-1
Jim_lim,246,345,2024.10.06,NA,0.8,0,19,19,27,14,-1
Jim_lim,609,363,2024.10.09,NA,0.8,0,17,17,27,15,-1
Jim_lim,611,371,2024.10.19,NA,0.8,0,53,53,27,16,-1
Jim_lim,620,380,2024.10.21,NA,0.8,0,6,6,27,17,-1
Jim_lim,628,391,2024.10.23,NA,0.8,0,31,31,27,18,-1
Jim_lim,649,404,2024.10.25,NA,0.8,0,1,1,27,19,-1
Jim_lim,808,516,2024.11.22,NA,0.8,0,2,2,27,20,-1
Jim_lim,423,561,2024.12.08,NA,0.8,0,4,4,27,21,-1
Jim_lim,917,587,2024.12.15,NA,0.8,0,1,1,27,22,-1
