subj.id,task_0.8,task_0.2,task_0.4,task_0.6,task_0,total_tasks_present
Ali,5,0,0,0,0,1
Aura,32,4,0,0,0,2
Babosa,15,4,3,0,0,3
Bat,9,0,0,3,0,2
Belanda,3,8,0,2,0,3
Betina,12,2,0,0,0,2
Boss,0,0,0,5,0,1
Cacao,18,0,0,0,0,1
Dandi,21,8,2,6,0,4
Flame,28,5,0,0,0,2
Granny,30,9,3,13,0,4
Harley,19,6,2,2,0,4
Iyla,22,10,4,5,3,5
Jim_lim,27,2,2,0,3,4
Kal,5,0,4,11,0,3
Kaya,28,0,0,0,0,1
Lip,32,3,3,0,0,3
Naina,29,2,4,8,0,4
Oreo,12,2,2,2,0,4
Pat,11,3,3,5,2,5
Pinky,18,5,2,7,3,5
Quindoline,26,10,0,10,2,4
Robin,23,6,0,4,3,4
Santa,19,0,3,0,0,2
Taipan,15,0,2,2,2,4
Ted,13,3,2,11,0,4
Tin_tin,3,0,0,0,0,1
Tutu,9,2,0,0,0,2
Vula,26,0,0,2,2,3
Whitney,28,0,3,0,0,2
Yaiko,27,3,3,0,2,4
