dyads,sex_pairs,handedness_pair,context,proximity
Ali:Aura,m:f,0,other,<1m>
Ali:Aura,m:f,0,stone_tool_use,<5m>
Ali:Bat,m:m,0,foraging_without_tools,<3m>
Ali:Bat,m:m,0,other,<1m>
Ali:Bat,m:m,0,other,<1m>
Ali:Bat,m:m,0,other,<3m>
Ali:Bat,m:m,0,other,<3m>
Ali:Belanda,m:m,0,other,<5m>
Ali:Belanda,m:m,0,other,<5m>
Ali:Belanda,m:m,0,other,<5m>
Ali:Cacao,m:f,0,other,<1m>
Ali:Cacao,m:f,0,other,<3m>
Ali:Cacao,m:f,0,other,<3m>
Ali:Cacao,m:f,0,other,<3m>
Ali:Cacao,m:f,0,other,<5m>
Ali:Cacao,m:f,0,other,<5m>
Ali:Cacao,m:f,0,stone_tool_use,<3m>
Ali:Cacao,m:f,0,stone_tool_use,<5m>
Ali:Dandi,m:f,1,other,<5m>
Ali:Dandi,m:f,1,stone_tool_use,<5m>
Ali:Flame,m:f,1,other,<1m>
Ali:Flame,m:f,1,other,<1m>
Ali:Flame,m:f,1,other,<1m>
Ali:Flame,m:f,1,other,<3m>
Ali:Flame,m:f,1,other,<5m>
Ali:Flame,m:f,1,other,<5m>
Ali:Flame,m:f,1,other,<5m>
Ali:Flame,m:f,1,stone_tool_use,<1m>
Ali:Flame,m:f,1,stone_tool_use,<1m>
Ali:Flame,m:f,1,stone_tool_use,<5m>
Ali:Flame,m:f,1,stone_tool_use,<5m>
Ali:Flame,m:f,1,stone_tool_use,<5m>
Ali:Flame,m:f,1,stone_tool_use,<5m>
Ali:Granny,m:f,1,stone_tool_use,<5m>
Ali:Harley,m:f,1,other,<1m>
Ali:Harley,m:f,1,other,<1m>
Ali:Harley,m:f,1,stone_tool_use,<1m>
Ali:Harley,m:f,1,stone_tool_use,<5m>
Ali:Iyla,m:f,0,other,<1m>
Ali:Iyla,m:f,0,other,<3m>
Ali:Iyla,m:f,0,other,<3m>
Ali:Iyla,m:f,0,other,<5m>
Ali:Iyla,m:f,0,other,<5m>
Ali:Jim_Lim,m:f,1,foraging_without_tools,<5m>
Ali:Jim_Lim,m:f,1,other,<3m>
Ali:Jim_Lim,m:f,1,other,<5m>
Ali:Jim_Lim,m:f,1,stone_tool_use,<1m>
Ali:Jim_Lim,m:f,1,stone_tool_use,<1m>
Ali:Jim_Lim,m:f,1,stone_tool_use,<1m>
Ali:Jim_Lim,m:f,1,stone_tool_use,<3m>
Ali:Kal,m:m,0,foraging_without_tools,<1m>
Ali:Kal,m:m,0,foraging_without_tools,<5m>
Ali:Kal,m:m,0,foraging_without_tools,<5m>
Ali:Kal,m:m,0,other,<1m>
Ali:Kal,m:m,0,other,<1m>
Ali:Kal,m:m,0,other,<1m>
Ali:Kal,m:m,0,other,<3m>
Ali:Kal,m:m,0,other,<3m>
Ali:Kal,m:m,0,other,<3m>
Ali:Kal,m:m,0,other,<3m>
Ali:Kal,m:m,0,other,<5m>
Ali:Kal,m:m,0,other,<5m>
Ali:Kaya,m:f,1,foraging_without_tools,<1m>
Ali:Kaya,m:f,1,stone_tool_use,<3m>
Ali:Kaya,m:f,1,stone_tool_use,<3m>
Ali:Lip,m:f,1,other,<1m>
Ali:Lip,m:f,1,other,<3m>
Ali:Lip,m:f,1,other,<5m>
Ali:Lip,m:f,1,other,<5m>
Ali:Lip,m:f,1,stone_tool_use,<1m>
Ali:Lip,m:f,1,stone_tool_use,<3m>
Ali:Lip,m:f,1,stone_tool_use,<3m>
Ali:Naina,m:f,1,foraging_without_tools,<5m>
Ali:Naina,m:f,1,other,<1m>
Ali:Naina,m:f,1,other,<1m>
Ali:Naina,m:f,1,other,<5m>
Ali:Naina,m:f,1,other,<5m>
Ali:Naina,m:f,1,other,<5m>
Ali:Naina,m:f,1,other,<5m>
Ali:Oreo,m:f,1,other,<1m>
Ali:Oreo,m:f,1,other,<5m>
Ali:Oreo,m:f,1,other,<5m>
Ali:Oreo,m:f,1,other,<5m>
Ali:Pat,m:m,0,foraging_without_tools,<5m>
Ali:Pat,m:m,0,other,<3m>
Ali:Pat,m:m,0,other,<3m>
Ali:Pat,m:m,0,other,<3m>
Ali:Pat,m:m,0,other,<3m>
Ali:Pat,m:m,0,other,<5m>
Ali:Pat,m:m,0,other,<5m>
Ali:Pat,m:m,0,other,<5m>
Ali:Pat,m:m,0,other,<5m>
Ali:Pat,m:m,0,other,<5m>
Ali:Pat,m:m,0,stone_tool_use,<3m>
Ali:Pat,m:m,0,stone_tool_use,<5m>
Ali:Pinky,m:f,0,foraging_without_tools,<1m>
Ali:Pinky,m:f,0,foraging_without_tools,<5m>
Ali:Pinky,m:f,0,other,<1m>
Ali:Pinky,m:f,0,other,<3m>
Ali:Pinky,m:f,0,other,<5m>
Ali:Quindoline,m:f,0,other,<5m>
Ali:Quindoline,m:f,0,other,<5m>
Ali:Quindoline,m:f,0,stone_tool_use,<5m>
Ali:Rambo,m:m,1,foraging_without_tools,<5m>
Ali:Robin,m:f,0,other,<1m>
Ali:Robin,m:f,0,other,<3m>
Ali:Robin,m:f,0,stone_tool_use,<5m>
Ali:Santa,m:f,1,foraging_without_tools,<5m>
Ali:Santa,m:f,1,other,<5m>
Ali:Santa,m:f,1,other,<5m>
Ali:Santa,m:f,1,other,<5m>
Ali:Taipan,m:f,0,other,<1m>
Ali:Taipan,m:f,0,other,<3m>
Ali:Ted,m:m,0,foraging_without_tools,<1m>
Ali:Ted,m:m,0,foraging_without_tools,<3m>
Ali:Ted,m:m,0,foraging_without_tools,<5m>
Ali:Ted,m:m,0,other,<1m>
Ali:Ted,m:m,0,other,<1m>
Ali:Ted,m:m,0,other,<1m>
Ali:Tutu,m:m,0,stone_tool_use,<5m>
Ali:Vula,m:f,1,foraging_without_tools,<5m>
Ali:Vula,m:f,1,other,<3m>
Ali:Vula,m:f,1,stone_tool_use,<1m>
Ali:Whitney,m:f,0,foraging_without_tools,<3m>
Ali:Yaiko,m:f,0,foraging_without_tools,<5m>
Ali:Yaiko,m:f,0,other,<3m>
Ali:Yaiko,m:f,0,other,<5m>
Aura:Bat,f:m,0,other,<1m>
Aura:Bat,f:m,0,other,<1m>
Aura:Bat,f:m,0,other,<3m>
Aura:Bat,f:m,0,other,<3m>
Aura:Bat,f:m,0,other,<5m>
Aura:Bat,f:m,0,other,<5m>
Aura:Bat,f:m,0,stone_tool_use,<5m>
Aura:Belanda,f:m,0,foraging_without_tools,<5m>
Aura:Belanda,f:m,0,other,<1m>
Aura:Belanda,f:m,0,other,<1m>
Aura:Belanda,f:m,0,other,<1m>
Aura:Belanda,f:m,0,other,<1m>
Aura:Belanda,f:m,0,other,<5m>
Aura:Betina,f:f,1,stone_tool_use,<3m>
Aura:Boss,f:m,0,other,<1m>
Aura:Cacao,f:f,0,foraging_without_tools,<3m>
Aura:Cacao,f:f,0,other,<5m>
Aura:Cacao,f:f,0,stone_tool_use,<1m>
Aura:Cacao,f:f,0,stone_tool_use,<3m>
Aura:Dandi,f:f,1,other,<1m>
Aura:Dandi,f:f,1,other,<5m>
Aura:Dandi,f:f,1,stone_tool_use,<5m>
Aura:Flame,f:f,1,other,<5m>
Aura:Granny,f:f,1,stone_tool_use,<3m>
Aura:Granny,f:f,1,stone_tool_use,<3m>
Aura:Granny,f:f,1,stone_tool_use,<3m>
Aura:Granny,f:f,1,stone_tool_use,<5m>
Aura:Iyla,f:f,0,foraging_without_tools,<5m>
Aura:Iyla,f:f,0,other,<1m>
Aura:Iyla,f:f,0,other,<1m>
Aura:Iyla,f:f,0,other,<5m>
Aura:Iyla,f:f,0,stone_tool_use,<5m>
Aura:Jim_Lim,f:f,1,foraging_without_tools,<3m>
Aura:Jim_Lim,f:f,1,stone_tool_use,<3m>
Aura:Jim_Lim,f:f,1,stone_tool_use,<3m>
Aura:Kal,f:m,0,other,<5m>
Aura:Kal,f:m,0,other,<5m>
Aura:Kal,f:m,0,stone_tool_use,<5m>
Aura:Kaya,f:f,1,other,<1m>
Aura:Kaya,f:f,1,other,<3m>
Aura:Kaya,f:f,1,other,<5m>
Aura:Kaya,f:f,1,other,<5m>
Aura:Kaya,f:f,1,stone_tool_use,<1m>
Aura:Kaya,f:f,1,stone_tool_use,<1m>
Aura:Lip,f:f,1,other,<1m>
Aura:Lip,f:f,1,other,<1m>
Aura:Lip,f:f,1,other,<1m>
Aura:Lip,f:f,1,other,<3m>
Aura:Lip,f:f,1,stone_tool_use,<3m>
Aura:Lip,f:f,1,stone_tool_use,<3m>
Aura:Lip,f:f,1,stone_tool_use,<5m>
Aura:Lip,f:f,1,stone_tool_use,<5m>
Aura:Naina,f:f,1,other,<1m>
Aura:Naina,f:f,1,other,<5m>
Aura:Naina,f:f,1,stone_tool_use,<3m>
Aura:Naina,f:f,1,stone_tool_use,<5m>
Aura:Oreo,f:f,1,foraging_without_tools,<3m>
Aura:Oreo,f:f,1,other,<1m>
Aura:Oreo,f:f,1,other,<1m>
Aura:Oreo,f:f,1,other,<1m>
Aura:Oreo,f:f,1,other,<3m>
Aura:Oreo,f:f,1,other,<3m>
Aura:Oreo,f:f,1,stone_tool_use,<3m>
Aura:Oreo,f:f,1,stone_tool_use,<5m>
Aura:Oreo,f:f,1,stone_tool_use,<5m>
Aura:Pat,f:m,0,foraging_without_tools,<3m>
Aura:Pat,f:m,0,other,<1m>
Aura:Pat,f:m,0,other,<5m>
Aura:Pat,f:m,0,other,<5m>
Aura:Pinky,f:f,0,other,<3m>
Aura:Pinky,f:f,0,stone_tool_use,<5m>
Aura:Quindoline,f:f,0,foraging_without_tools,<5m>
Aura:Quindoline,f:f,0,other,<5m>
