subj.id,sex,right,left,N,n,handedness.index,p_value
Ali,m,114,0,7,16.29,1,9.63E-35
Aura,f,1399,0,41,34.12,1,0
Babosa,m,283,175,20,22.9,0.236,5.11E-07
Bat,m,285,0,9,31.67,1,3.22E-86
Belanda,m,11,0,3,3.67,1,0.000976563
Betina,f,0,224,15,14.93,-1,7.42E-68
Cacao,f,947,0,27,35.07,1,1.68E-285
Dandi,f,0,568,38,14.95,-1,2.07E-171
Flame,f,0,1241,30,41.37,-1,0
Granny,f,0,1228,46,26.7,-1,0
Harley,f,0,1106,29,38.14,-1,0
Iyla,f,829,0,32,25.91,1,5.59E-250
Jim_lim,f,0,1177,36,32.69,-1,0
Kal,m,206,0,5,41.2,1,1.94E-62
Kaya,f,0,2195,49,44.8,-1,0
Lip,f,0,2350,38,61.84,-1,0
Manee,f,238,0,4,59.5,1,4.53E-72
Naina,f,0,1064,39,27.28,-1,1.012e-320
Oreo,f,0,399,14,28.5,-1,1.55E-120
Pat,m,129,0,11,11.73,1,2.94E-39
Pinky,f,661,0,19,34.79,1,2.09E-199
Quindoline,f,1836,1,44,41.75,0.999,0
Rambo,m,0,3,1,3,-1,0.25
Robin,f,0,1413,37,38.19,-1,0
Santa,f,0,577,21,27.48,-1,4.04E-174
Taipan,f,867,0,20,43.35,1,2.03E-261
Ted,m,247,0,14,17.64,1,8.84E-75
Tin_tin,m,41,0,3,13.67,1,9.09E-13
Tutu,m,359,0,9,39.89,1,1.70E-108
Vula,f,0,2107,38,55.45,-1,0
Whitney,f,1577,0,40,39.42,1,0
Yaiko,f,1276,0,40,31.9,1,0
