subj.id,focal.id,date,right.hand,left.hand,both.hands,total,comments
Ali,885,2024.09.12,1,0,0,1,
Aura,617,2024.10.21,1,0,0,1,
Aura,629,2024.10.23,2,0,0,2,
Aura,916,2024.12.15,7,0,0,7,
Aura,1259,2025.01.03,1,0,0,1,
Babosa,782,2024.11.18,1,0,0,1,
Babosa,1031,2025.08.01,1,0,0,1,
Babosa,1114,2025.01.25,0,1,0,1,
Babosa,1307,2025.10.03,0,1,0,1,
Belanda,695,2024.02.11,3,0,0,3,
Belanda,870,2024.07.12,3,0,0,3,
Belanda,video,2024.08.22,1,0,0,1,from the video. He did 12 pounds on the rock
Belanda,892,2024.09.12,17,0,0,17,
Belanda,video,2024.10.29,1,0,0,1,from the video. He did 22 pounds on the rock
Belanda,992,2025.02.01,11,0,0,11,
Belanda,1043,2025.11.01,1,0,0,1,
Belanda,1306,2025.10.03,4,0,0,4,
Betina,312,2024.06.22,0,1,0,1,
Betina,669,2024.10.29,0,5,0,5,
Cacao,796,2024.11.21,3,0,0,3,
Dandi,616,2024.10.21,0,2,0,2,
Dandi,651,2024.10.26,0,2,0,2,
Dandi,686,2024.10.30,0,2,0,2,
Dandi,693,2024.01.11,0,2,0,2,
Dandi,722,2024.04.11,0,7,0,7,
Dandi,771,2024.11.18,0,1,0,1,
Dandi,805,2024.11.22,0,1,0,1,
Dandi,816,2024.11.24,0,1,0,1,
Flame,731,2024.11.11,0,1,0,1,
Flame,888,2024.09.12,0,1,0,1,
Flame,938,2024.12.18,0,1,0,1,
Flame,952,2024.12.19,0,1,0,1,
Flame,1103,2025.01.20,0,1,0,1,
Granny,308,2024.06.21,0,1,0,1,
Granny,630,2024.10.23,0,9,0,9,
Granny,641,2024.10.25,0,1,0,1,
Granny,709,2024.04.11,0,4,0,4,
Granny,766,2024.11.16,0,2,0,2,
Granny,822,2024.11.24,0,5,0,5,
Granny,849,2024.02.12,0,2,0,2,
Granny,955,2024.12.20,0,2,0,2,
Granny,1041,2025.11.01,0,1,0,1,
Harley,671,2024.10.29,0,4,0,4,
Harley,691,2024.01.11,0,2,0,2,
Harley,737,2024.12.11,0,3,0,3,
Harley,846,2024.11.30,0,9,0,9,
Harley,853,2024.04.12,0,1,0,1,
Harley,951,2024.12.19,0,4,0,4,
Iyla,325,2024.06.24,1,0,0,1,
Iyla,627,2024.10.23,3,0,0,3,
Iyla,670,2024.10.29,9,0,0,9,
Iyla,675,2024.10.29,1,0,0,1,
Iyla,736,2024.12.11,15,0,0,15,
Iyla,828,2024.11.26,27,0,0,27,
Iyla,855,2024.04.12,3,1,0,4,
Iyla,875,2024.07.12,1,0,0,1,
Iyla,981,2025.01.01,5,0,0,5,
Iyla,1285,2025.07.03,1,0,0,1,
Jim_lim,628,2024.10.23,0,1,0,1,
Jim_lim,783,2024.11.19,0,1,0,1,
Kal,1323,2025.03.15,6,0,0,6,
Kaya,937,2024.12.16,0,3,0,3,
Lip,572,2024.06.09,0,1,0,1,
Lip,865,2024.05.12,0,1,0,1,
Lip,1158,2025.02.02,0,1,0,1,
Naina,673,2024.10.29,0,17,0,17,
Naina,738,2024.12.11,0,4,0,4,
Oreo,668,2024.10.29,0,1,0,1,
Oreo,1002,2025.05.01,0,1,0,1,
Pat,837,2024.11.29,0,1,0,1,
Pat,997,2025.03.01,1,0,0,1,
Pat,1361,2025.03.26,1,0,0,1,
Pinky,728,2024.11.11,5,0,0,5,
Pinky,793,2024.11.21,0,1,0,1,
Pinky,838,2024.11.29,1,0,0,1,
Pinky,966,2024.12.22,3,0,0,3,
Pinky,1008,2025.05.01,2,0,0,2,
Quindoline,161,2024.05.17,1,0,0,1,
Quindoline,662,2024.10.28,0,1,0,1,
Quindoline,829,2024.11.26,0,5,0,5,
Quindoline,874,2024.07.12,0,1,0,1,
Quindoline,890,2024.09.12,0,2,0,2,
Quindoline,899,2024.11.12,2,1,0,3,
Quindoline,971,2024.12.29,0,1,0,1,
Quindoline,1003,2025.05.01,1,0,0,1,
Quindoline,1071,2025.01.16,0,4,0,4,
Quindoline,1098,2025.01.17,0,3,0,3,
Robin,707,2024.02.11,0,15,0,15,
Robin,712,2024.04.11,0,2,0,2,
Robin,810,2024.11.22,0,2,0,2,
Robin,848,2024.11.30,0,11,0,11,
Robin,949,2024.12.18,0,1,0,1,
Robin,1086,2025.01.17,0,1,0,1,
Santa,1223,2025.02.22,0,2,0,2,
Ted,689,2024.10.30,0,7,0,7,
Ted,817,2024.11.24,0,1,0,1,
Ted,1030,2025.08.01,0,1,0,1,
Tin_tin,869,2024.07.12,1,0,0,1,
Tutu,1083,2025.01.16,3,0,0,3,
Tutu,1104,2025.01.20,1,0,0,1,
Vula,741,2024.12.11,0,1,0,1,
Whitney,980,2025.01.01,14,0,0,14,
Yaiko,721,2024.04.11,3,0,0,3,
Yaiko,977,2024.12.30,1,0,0,1,
Yaiko,1246,2025.02.25,2,0,0,2,
