subj.id,focal.id.old,date,time,gutt.score,right.hand,left.hand,both.hands,total,comments
Oreo,,2024.06.29,8:28,0.4,1,0,0,1,
Boss,1,2025.02.21,12:25,0.6,1,0,0,1,
Boss,1,2025.02.21,12:26,0.6,1,0,0,1,
Boss,1,2025.02.21,12:28,0.6,1,0,0,1,
Boss,1,2025.02.21,12:30,0.6,1,0,0,1,
Boss,1,2025.02.21,12:31,0.6,1,0,0,1,
Oreo,2,2024.03.18,,0.8,0,5,0,5,
Boss,2,2025.02.22,10:54,0.6,1,0,0,1,
Boss,2,2025.02.22,10:55,0.6,1,0,0,1,
Boss,2,2025.02.22,10:56,0.6,1,0,0,1,
Boss,2,2025.02.22,10:58,0.6,1,0,0,1,
Boss,2,2025.02.22,10:59,0.6,1,0,0,1,
Boss,3,2025.02.22,12:53:12,0.6,1,0,0,1,
Boss,3,2025.02.22,12:54:32,0.6,1,0,0,1,
Boss,3,2025.02.22,12:55:52,0.6,1,0,0,1,
Boss,3,2025.02.22,12:58:22,0.6,1,0,0,1,
Boss,3,2025.02.22,13:00:55 PM,0.6,1,0,0,1,
Boss,4,2025.02.24,11:40:38,0.6,1,0,0,1,
Boss,4,2025.02.24,11:43:47,0.6,1,0,0,1,
Boss,4,2025.02.24,11:44:20,0.6,1,0,0,1,
Boss,4,2025.02.24,11:44:50,0.6,1,0,0,1,
Pat,5,2024.03.20,,0.8,4,0,0,4,
Ali,9,2024.03.30,,0.8,4,0,0,4,
Whitney,11,2024.03.31,,0.8,37,0,0,37,
Bat,12,2024.03.04,,0.8,38,0,0,38,
Dandi,13,2024.03.04,,0.8,0,44,0,44,
Flame,14,2024.03.04,,0.8,0,54,0,54,
Kaya,15,2024.03.04,,0.8,0,44,0,44,
Cacao,17,2024.03.04,,0.8,28,0,0,28,
Ted,19,2024.04.04,,0.8,7,0,0,7,
Pinky,20,2024.04.04,,0.8,8,0,0,8,
Robin,21,2024.04.04,,0.8,0,49,0,49,
Granny,22,2024.04.04,12:12:29,0.6,0,1,0,1,
Granny,22,2024.04.04,12:15:18,0.6,0,1,0,1,
Taipan,25,2024.04.04,,0.8,45,0,0,45,
Ali,29,2024.06.04,,0.8,15,0,0,15,
Dandi,30,2024.06.04,,0.8,0,8,0,8,
Iyla,31,2024.06.04,,0.8,38,0,0,38,
Yaiko,38,2024.08.04,,0.8,57,0,0,57,
Pinky,44,2024.04.11,,0,19,0,0,19,
