subj.id,focal.id.old,uni.id,date,time,gutt.score,right.hand,left.hand,total,n_trials
Kal,NA,1,2023.05.13,11:30:00,0.6,1,0,1,11
Robin,NA,2,2023.11.03,12:25:00,0.6,0,1,1,4
Lip,335,3,2024.01.07,NA,0.8,0,77,77,32
Whitney,333,4,2024.01.07,NA,0.8,50,0,50,28
Granny,366,5,2024.01.08,NA,0.8,0,27,27,30
Jim_lim,367,6,2024.01.08,NA,0.8,0,24,24,27
Lip,365,7,2024.01.08,NA,0.8,0,91,91,32
Oreo,364,8,2024.01.08,NA,0.8,0,32,32,12
Quindoline,370,9,2024.01.08,NA,0.8,52,0,52,26
Santa,368,10,2024.01.08,NA,0.8,0,47,47,19
Taipan,363,11,2024.01.08,NA,0.8,19,0,19,15
Yaiko,369,12,2024.01.08,NA,0.8,43,0,43,27
Dandi,693,13,2024.01.11,NA,0.8,0,1,1,21
Dandi,693,14,2024.01.11,NA,0.2,0,2,2,8
Flame,692,15,2024.01.11,NA,0.8,0,23,23,28
Harley,691,16,2024.01.11,NA,0.8,0,6,6,19
Harley,691,17,2024.01.11,NA,0.2,0,2,2,6
Cacao,552,18,2024.02.09,NA,0.8,12,0,12,18
Dandi,551,19,2024.02.09,NA,0.8,0,19,19,21
Flame,554,20,2024.02.09,NA,0.8,0,5,5,28
Lip,553,21,2024.02.09,NA,0.8,0,76,76,32
Oreo,539,22,2024.02.09,NA,0.8,0,1,1,12
Belanda,695,23,2024.02.11,NA,0.2,3,0,3,8
Jim_lim,708,24,2024.02.11,NA,0.8,0,11,11,27
Robin,707,25,2024.02.11,NA,0.8,0,5,5,23
Robin,707,26,2024.02.11,NA,0.2,0,15,15,6
Granny,849,27,2024.02.12,NA,0.8,0,3,3,30
Granny,849,28,2024.02.12,NA,0.2,0,2,2,9
Bat,12,29,2024.03.04,NA,0.8,38,0,38,9
Cacao,17,30,2024.03.04,NA,0.8,28,0,28,18
Dandi,13,31,2024.03.04,NA,0.8,0,44,44,21
Flame,14,32,2024.03.04,NA,0.8,0,54,54,28
Kaya,15,33,2024.03.04,NA,0.8,0,44,44,28
Oreo,2,34,2024.03.18,NA,0.8,0,5,5,12
Pat,5,35,2024.03.20,NA,0.8,4,0,4,11
Ali,9,36,2024.03.30,NA,0.8,4,0,4,5
Whitney,11,37,2024.03.31,NA,0.8,37,0,37,28
Granny,22,38,2024.04.04,12:12:29,0.6,0,2,2,13
Pinky,20,39,2024.04.04,NA,0.8,8,0,8,18
Robin,21,40,2024.04.04,NA,0.8,0,49,49,23
Taipan,25,41,2024.04.04,NA,0.8,45,0,45,15
Ted,19,42,2024.04.04,NA,0.8,7,0,7,13
Aura,568,43,2024.04.09,NA,0.8,9,0,9,32
Flame,557,44,2024.04.09,NA,0.8,0,2,2,28
Harley,570,45,2024.04.09,NA,0.8,0,33,33,19
Robin,558,46,2024.04.09,NA,0.8,0,1,1,23
Yaiko,555,47,2024.04.09,NA,0.8,44,0,44,27
Dandi,722,48,2024.04.11,NA,0.8,0,1,1,21
Dandi,722,49,2024.04.11,NA,0.2,0,7,7,8
Granny,709,50,2024.04.11,NA,0.8,0,38,38,30
Granny,709,51,2024.04.11,NA,0.2,0,4,4,9
Jim_lim,720,52,2024.04.11,NA,0.8,0,2,2,27
Pinky,44,53,2024.04.11,NA,0,19,0,19,3
Robin,712,54,2024.04.11,NA,0.2,0,2,2,6
Whitney,710,55,2024.04.11,NA,0.8,4,0,4,28
Yaiko,721,56,2024.04.11,NA,0.8,8,0,8,27
Yaiko,721,57,2024.04.11,NA,0.2,3,0,3,3
Harley,853,59,2024.04.12,NA,0.2,0,1,1,6
Iyla,855,60,2024.04.12,NA,0.8,39,0,39,22
Iyla,855,61,2024.04.12,NA,0.2,3,1,4,10
Naina,854,62,2024.04.12,NA,0.8,0,4,4,29
Aura,60,63,2024.04.14,NA,0.8,40,0,40,32
Betina,63,64,2024.04.14,NA,0.8,0,24,24,12
Dandi,62,65,2024.04.14,NA,0.8,0,26,26,21
Harley,61,66,2024.04.14,NA,0.8,0,52,52,19
Bat,65,67,2024.04.17,NA,0.8,42,0,42,9
Betina,74,68,2024.04.17,NA,0.8,0,6,6,12
Dandi,71,69,2024.04.17,NA,0.8,0,8,8,21
Flame,66,70,2024.04.17,NA,0.8,0,30,30,28
Iyla,67,71,2024.04.17,NA,0.8,27,0,27,22
Lip,68,72,2024.04.17,NA,0.8,0,89,89,32
Ted,70,73,2024.04.17,NA,0.8,18,0,18,13
Yaiko,69,74,2024.04.17,NA,0.8,46,0,46,27
Iyla,89,75,2024.04.18,NA,0.8,11,0,11,22
Jim_lim,82,76,2024.04.18,NA,0.8,0,24,24,27
Kaya,87,77,2024.04.18,NA,0.8,0,21,21,28
Lip,85,78,2024.04.18,NA,0.8,0,33,33,32
Robin,83,79,2024.04.18,NA,0.8,0,35,35,23
Tin_tin,81,80,2024.04.18,NA,0.8,1,0,1,3
Whitney,88,81,2024.04.18,NA,0.8,24,0,24,28
Iyla,100,82,2024.04.19,NA,0.8,2,0,2,22
Naina,96,83,2024.04.19,NA,0.8,0,11,11,29
Oreo,97,84,2024.04.19,NA,0.8,0,23,23,12
Quindoline,92,85,2024.04.19,NA,0.8,19,0,19,26
Tutu,93,87,2024.04.19,NA,0.8,15,0,15,9
Harley,232,88,2024.05.06,NA,0.8,0,49,49,19
Lip,233,89,2024.05.06,NA,0.8,0,51,51,32
Pinky,234,90,2024.05.06,NA,0.8,87,0,87,18
Taipan,108,91,2024.05.09,NA,0,7,7,9,2
Flame,864,93,2024.05.12,NA,0.8,0,4,4,28
Lip,865,94,2024.05.12,NA,0.8,0,6,6,32
Lip,865,95,2024.05.12,NA,0.2,0,1,1,3
Aura,136,96,2024.05.13,NA,0.8,67,0,67,32
Flame,137,97,2024.05.13,NA,0.8,0,97,97,28
Kaya,135,98,2024.05.13,NA,0.8,0,36,36,28
Santa,124,99,2024.05.13,NA,0.8,0,14,14,19
Taipan,134,100,2024.05.13,NA,0.8,42,0,42,15
Iyla,140,101,2024.05.14,NA,0,42,5,47,3
Flame,149,102,2024.05.16,NA,0.8,0,22,22,28
Harley,153,103,2024.05.16,NA,0.8,0,43,43,19
Jim_lim,147,104,2024.05.16,NA,0.8,0,48,48,27
Lip,154,105,2024.05.16,NA,0.8,0,50,50,32
Pinky,151,106,2024.05.16,NA,0.8,15,0,15,18
Ted,145,107,2024.05.16,NA,0.8,4,0,4,13
Tin_tin,150,108,2024.05.16,NA,0.8,32,0,32,3
Vula,146,109,2024.05.16,NA,0.8,0,45,45,26
Whitney,148,110,2024.05.16,NA,0.8,57,0,57,28
Dandi,158,111,2024.05.17,NA,0.8,0,9,9,21
Iyla,162,112,2024.05.17,NA,0.8,27,0,27,22
Kaya,159,113,2024.05.17,NA,0.8,0,63,63,28
Quindoline,161,114,2024.05.17,NA,0.8,47,0,47,26
Quindoline,161,115,2024.05.17,NA,0.2,1,0,1,10
