subj.id,focal.id,date,right.hand,left.hand,both.hands,total
Ali,9,2024.03.30,4,0,0,4
Ali,29,2024.06.04,15,0,0,15
Ali,957,2024.12.20,15,0,0,15
Ali,1042,2025.11.01,31,0,0,31
Ali,1068,2025.01.15,5,0,0,5
Aura,60,2024.04.14,40,0,0,40
Aura,116,2024.09.05,50,0,0,50
Aura,136,2024.05.13,67,0,0,67
Aura,171,2024.05.20,95,0,0,95
Aura,196,2024.05.28,46,0,0,46
Aura,257,2024.12.06,37,0,0,37
Aura,262,2024.06.14,105,0,0,105
Aura,279,2024.06.17,62,0,0,62
Aura,324,2024.06.24,44,0,0,44
Aura,348,2024.07.21,31,0,0,31
Aura,362,2024.07.25,46,0,0,46
Aura,413,2024.10.08,33,0,0,33
Aura,443,2024.08.16,3,0,0,3
Aura,451,2024.08.18,31,0,0,31
Aura,466,2024.08.20,26,0,0,26
Aura,479,2024.08.22,2,0,0,2
Aura,497,2024.08.24,10,0,0,10
Aura,522,2024.08.29,62,0,0,62
Aura,568,2024.04.09,9,0,0,9
Aura,585,2024.06.09,28,0,0,28
Aura,595,2024.10.09,18,0,0,18
Aura,617,2024.10.21,1,0,0,1
Aura,629,2024.10.23,31,0,0,31
Aura,659,2024.10.28,11,0,0,11
Aura,891,2024.09.12,65,0,0,65
Aura,956,2024.12.20,9,0,0,9
Aura,1025,2025.07.01,76,0,0,76
Aura,1053,2025.12.01,41,0,0,41
Aura,1118,2025.01.25,32,0,0,32
Aura,1136,2025.01.27,19,0,0,19
Aura,1259,2025.01.03,29,0,0,29
Aura,1331,2025.03.19,83,0,0,83
Babosa,358,2024.07.23,8,9,38,55
Babosa,397,2024.07.08,12,12,55,79
Babosa,610,2024.10.19,8,5,10,23
Babosa,664,2024.10.28,5,3,27,35
Babosa,782,2024.11.18,6,15,0,21
Babosa,798,2024.11.21,2,0,0,2
Babosa,820,2024.11.24,5,0,0,5
Babosa,902,2024.11.12,27,25,0,52
Babosa,1031,2025.08.01,27,12,5,44
Babosa,1099,2025.01.19,9,11,5,25
Babosa,1114,2025.01.25,12,7,4,23
Babosa,1222,2025.02.22,9,11,0,20
Babosa,1274,2025.05.03,21,11,2,34
Babosa,1307,2025.10.03,22,10,1,33
Babosa,1346,2025.03.21,14,7,4,25
Bat,12,2024.03.04,38,0,0,38
Bat,65,2024.04.17,42,0,0,42
Bat,103,2024.09.05,4,0,0,4
Bat,187,2024.05.23,63,0,0,63
Bat,653,2024.10.26,19,0,0,19
Bat,739,2024.12.11,62,0,0,62
Bat,769,2024.11.18,5,0,0,5
Bat,1219,2025.02.22,31,0,0,31
Bat,1236,2025.02.24,21,0,0,21
Belanda,263,2024.06.14,5,0,0,5
Belanda,870,2024.07.12,4,0,0,4
Belanda,892,2024.09.12,2,0,0,2
Betina,63,2024.04.14,0,24,0,24
Betina,74,2024.04.17,0,6,0,6
Betina,298,2024.06.19,0,4,0,4
Betina,312,2024.06.22,0,75,0,75
Betina,403,2024.10.08,0,9,0,9
Betina,440,2024.08.16,0,9,0,9
Betina,467,2024.08.22,0,1,0,1
Betina,642,2024.10.25,0,7,0,7
Betina,669,2024.10.29,0,5,0,5
Betina,795,2024.11.21,0,10,0,10
Betina,1204,2025.02.18,0,24,0,24
Betina,1218,2025.02.21,0,15,0,15
Cacao,17,2024.03.04,28,0,0,28
Cacao,188,2024.05.26,35,0,0,35
Cacao,237,2024.10.06,80,0,0,80
Cacao,258,2024.12.06,46,0,0,46
Cacao,264,2024.06.14,18,0,0,18
Cacao,294,2024.06.18,61,0,0,61
Cacao,394,2024.07.08,34,0,0,34
Cacao,402,2024.10.08,45,0,0,45
Cacao,424,2024.12.08,62,0,0,62
Cacao,459,2024.08.19,67,0,0,67
Cacao,484,2024.08.23,25,0,0,25
Cacao,506,2024.08.27,11,0,0,11
Cacao,552,2024.02.09,12,0,0,12
Cacao,618,2024.10.21,13,0,0,13
Cacao,647,2024.10.25,34,0,0,34
Cacao,796,2024.11.21,11,0,0,11
Cacao,1035,2025.08.01,1,0,0,1
Cacao,1203,2025.02.17,18,0,0,18
Dandi,13,2024.03.04,0,44,0,44
Dandi,30,2024.06.04,0,8,0,8
Dandi,62,2024.04.14,0,26,0,26
Dandi,71,2024.04.17,0,8,0,8
Dandi,158,2024.05.17,0,9,0,9
Dandi,244,2024.10.06,0,20,0,20
Dandi,283,2024.06.17,0,1,0,1
Dandi,417,2024.11.08,0,71,0,71
Dandi,500,2024.08.24,0,1,0,1
Dandi,551,2024.02.09,0,19,0,19
Dandi,573,2024.06.09,0,3,0,3
Dandi,616,2024.10.21,0,6,0,6
Dandi,651,2024.10.26,0,11,0,11
Dandi,667,2024.10.28,0,1,0,1
Dandi,693,2024.01.11,0,1,0,1
Dandi,722,2024.04.11,0,1,0,1
Dandi,805,2024.11.22,0,4,0,4
Dandi,816,2024.11.24,0,3,0,3
Dandi,913,2024.12.13,0,12,0,12
Dandi,1006,2025.05.01,0,4,0,4
Dandi,1221,2025.02.22,0,5,0,5
Flame,14,2024.03.04,0,54,0,54
Flame,57,2024.12.04,0,51,0,51
Flame,66,2024.04.17,0,30,0,30
Flame,137,2024.05.13,0,97,0,97
Flame,149,2024.05.16,0,22,0,22
Flame,247,2024.11.06,0,33,0,33
Flame,282,2024.06.17,0,47,0,47
Flame,375,2024.06.08,0,77,0,77
Flame,420,2024.11.08,0,11,0,11
Flame,456,2024.08.18,0,35,0,35
Flame,554,2024.02.09,0,5,0,5
Flame,557,2024.04.09,0,2,0,2
Flame,587,2024.07.09,0,23,0,23
Flame,692,2024.01.11,0,23,0,23
Flame,731,2024.11.11,0,14,0,14
Flame,830,2024.11.27,0,71,0,71
Flame,864,2024.05.12,0,4,0,4
Flame,888,2024.09.12,0,28,0,28
Flame,915,2024.12.13,0,18,0,18
Flame,938,2024.12.18,0,5,0,5
Flame,965,2024.12.22,0,81,0,81
Flame,983,2025.01.01,0,83,0,83
Flame,1056,2025.12.01,0,67,0,67
Flame,1103,2025.01.20,0,62,0,62
Flame,1137,2025.01.27,0,43,0,43
Flame,1160,2025.02.02,0,70,0,70
Flame,1193,2025.02.17,0,67,0,67
Flame,1237,2025.02.24,0,60,0,60
Granny,114,2024.09.05,0,47,0,47
Granny,308,2024.06.21,0,35,0,35
Granny,351,2024.07.23,0,30,0,30
Granny,366,2024.01.08,0,27,0,27
Granny,385,2024.06.08,0,48,0,48
Granny,422,2024.12.08,0,42,0,42
Granny,438,2024.08.15,0,3,0,3
Granny,448,2024.08.18,0,19,0,19
Granny,460,2024.08.19,0,74,0,74
Granny,469,2024.08.22,0,32,0,32
Granny,525,2024.08.29,0,13,0,13
Granny,535,2024.08.30,0,31,0,31
Granny,608,2024.10.09,0,50,0,50
Granny,613,2024.10.19,0,55,0,55
Granny,630,2024.10.23,0,32,0,32
Granny,641,2024.10.25,0,26,0,26
Granny,657,2024.10.26,0,12,0,12
Granny,672,2024.10.29,0,5,0,5
Granny,709,2024.04.11,0,38,0,38
Granny,766,2024.11.16,0,1,0,1
Granny,822,2024.11.24,0,5,0,5
Granny,849,2024.02.12,0,3,0,3
Granny,871,2024.07.12,0,57,0,57
Granny,889,2024.09.12,0,56,0,56
Granny,914,2024.12.13,0,39,0,39
Granny,955,2024.12.20,0,5,0,5
Granny,982,2025.01.01,0,75,0,75
Granny,1041,2025.11.01,0,53,0,53
Granny,1105,2025.01.20,0,68,0,68
Granny,1308,2025.10.03,0,24,0,24
Harley,61,2024.04.14,0,52,0,52
Harley,153,2024.05.16,0,43,0,43
Harley,173,2024.05.20,0,76,0,76
Harley,197,2024.05.28,0,15,0,15
Harley,232,2024.05.06,0,49,0,49
Harley,261,2024.06.14,0,65,0,65
Harley,281,2024.06.17,0,52,0,52
Harley,376,2024.06.08,0,40,0,40
Harley,531,2024.08.30,0,45,0,45
Harley,570,2024.04.09,0,33,0,33
Harley,671,2024.10.29,0,28,0,28
Harley,691,2024.01.11,0,6,0,6
Harley,737,2024.12.11,0,19,0,19
Harley,846,2024.11.30,0,2,0,2
Harley,912,2024.12.13,0,23,0,23
Harley,927,2024.12.16,0,2,0,2
Harley,1082,2025.01.16,0,48,0,48
Harley,1109,2025.01.25,0,6,0,6
Harley,1284,2025.07.03,0,18,0,18
Iyla,31,2024.06.04,38,0,0,38
Iyla,67,2024.04.17,27,0,0,27
Iyla,89,2024.04.18,11,0,0,11
Iyla,100,2024.04.19,2,0,0,2
Iyla,115,2024.09.05,38,0,0,38
Iyla,162,2024.05.17,27,0,0,27
Iyla,239,2024.10.06,3,0,0,3
Iyla,259,2024.12.06,6,0,0,6
Iyla,285,2024.06.17,68,0,0,68
Iyla,309,2024.06.21,13,0,0,13
Iyla,325,2024.06.24,1,0,0,1
