subj.id,behavior,r.hand,l.hand,hand.score,hand.score.abs,gutt.score,dom.hand,sex
Aura,rubbing.behavior,5,15,-0.5,0.5,0,l,f
Cacao,rubbing.behavior,38,10,0.583333333,0.583333333,0,r,f
Dandi,rubbing.behavior,4,2,0.333333333,0.333333333,0,r,f
Granny,rubbing.behavior,101,67,0.202380952,0.202380952,0,r,f
Harley,rubbing.behavior,14,10,0.166666667,0.166666667,0,r,f
Iyla,rubbing.behavior,122,53,0.394285714,0.394285714,0,r,f
Jim_lim,rubbing.behavior,103,54,0.312101911,0.312101911,0,r,f
Kaya,rubbing.behavior,25,20,0.111111111,0.111111111,0,r,f
Lip,rubbing.behavior,18,14,0.125,0.125,0,r,f
Naina,rubbing.behavior,9,9,0,0,0,amb,f
Oreo,rubbing.behavior,12,6,0.333333333,0.333333333,0,r,f
Pinky,rubbing.behavior,35,30,0.076923077,0.076923077,0,r,f
Quindoline,rubbing.behavior,53,47,0.06,0.06,0,r,f
Robin,rubbing.behavior,62,23,0.458823529,0.458823529,0,r,f
Santa,rubbing.behavior,4,0,1,1,0,r,f
Taipan,rubbing.behavior,16,16,0,0,0,amb,f
Vula,rubbing.behavior,20,35,-0.272727273,0.272727273,0,l,f
Whitney,rubbing.behavior,13,19,-0.1875,0.1875,0,l,f
Yaiko,rubbing.behavior,31,17,0.291666667,0.291666667,0,r,f
Aura,food.pounding,12,0,1,1,0.2,r,f
Betina,food.pounding,0,7,-1,1,0.2,l,f
Cacao,food.pounding,3,0,1,1,0.2,r,f
Dandi,food.pounding,0,59,-1,1,0.2,l,f
Flame,food.pounding,0,6,-1,1,0.2,l,f
Granny,food.pounding,0,33,-1,1,0.2,l,f
Harley,food.pounding,0,25,-1,1,0.2,l,f
Iyla,food.pounding,85,1,0.976744186,0.976744186,0.2,r,f
Jim_lim,food.pounding,0,4,-1,1,0.2,l,f
Kaya,food.pounding,0,4,-1,1,0.2,l,f
Lip,food.pounding,0,3,-1,1,0.2,l,f
Manee,food.pounding,1,0,1,1,0.2,r,f
Naina,food.pounding,0,21,-1,1,0.2,l,f
Oreo,food.pounding,0,3,-1,1,0.2,l,f
Pinky,food.pounding,10,1,0.818181818,0.818181818,0.2,r,f
