subj.id,sex,behavior,right.hand,left.hand,HI,abs.HI,N
Ali,m,food.pounding,1,0,1.0,1.0,1
Aura,f,food.pounding,12,0,1.0,1.0,5
Babosa,m,food.pounding,4,2,0.3333333333333333,0.3333333333333333,6
Belanda,m,food.pounding,39,0,1.0,1.0,6
Betina,f,food.pounding,0,6,-1.0,1.0,2
Cacao,f,food.pounding,3,0,1.0,1.0,1
Dandi,f,food.pounding,0,59,-1.0,1.0,18
Flame,f,food.pounding,0,6,-1.0,1.0,6
Granny,f,food.pounding,0,32,-1.0,1.0,11
Harley,f,food.pounding,0,25,-1.0,1.0,8
Iyla,f,food.pounding,85,1,0.9767441860465116,0.9767441860465116,16
Jim_lim,f,food.pounding,0,4,-1.0,1.0,4
Kal,m,food.pounding,6,0,1.0,1.0,1
Kaya,f,food.pounding,0,3,-1.0,1.0,2
Lady_boy,m,food.pounding,1,1,0.0,0.0,1
Lip,f,food.pounding,0,2,-1.0,1.0,2
Manee,f,food.pounding,1,0,1.0,1.0,1
Naina,f,food.pounding,0,21,-1.0,1.0,2
Oreo,f,food.pounding,0,3,-1.0,1.0,3
Pat,m,food.pounding,0,1,-1.0,1.0,1
Pinky,f,food.pounding,10,1,0.8181818181818182,0.8181818181818182,4
Quindoline,f,food.pounding,4,27,-0.7419354838709677,0.7419354838709677,13
Robin,f,food.pounding,0,37,-1.0,1.0,10
Santa,f,food.pounding,0,2,-1.0,1.0,1
Ted,m,food.pounding,0,9,-1.0,1.0,3
Tutu,m,food.pounding,3,0,1.0,1.0,1
Vula,f,food.pounding,0,1,-1.0,1.0,1
Whitney,f,food.pounding,18,0,1.0,1.0,4
Yaiko,f,food.pounding,6,0,1.0,1.0,3
