subj.id,sex,behavior,right.hand,left.hand,HI,abs.HI,N
Ali,m,food.washing,6,0,1,1,1
Aura,f,food.washing,6,0,1,1,1
Belanda,m,food.washing,1,15,-0.875,0.875,1
Betina,f,food.washing,1,0,1,1,1
Cacao,f,food.washing,1,5,-0.666666667,0.666666667,1
Flame,f,food.washing,5,0,1,1,1
Jim_lim,f,food.washing,0,6,-1,1,1
Oreo,f,food.washing,11,5,0.375,0.375,1
Babosa,m,food.washing,0,11,-1,1,2
Dandi,f,food.washing,0,5,-1,1,2
Harley,f,food.washing,4,0,1,1,2
Pinky,f,food.washing,7,1,0.75,0.75,2
Robin,f,food.washing,29,1,0.933333333,0.933333333,2
Taipan,f,food.washing,7,26,-0.575757576,0.575757576,2
Ted,m,food.washing,0,4,-1,1,2
Vula,f,food.washing,10,3,0.538461538,0.538461538,2
Granny,f,food.washing,15,1,0.875,0.875,3
Kaya,f,food.washing,28,2,0.866666667,0.866666667,3
Lip,f,food.washing,1,43,-0.954545455,0.954545455,3
Pat,m,food.washing,24,5,0.655172414,0.655172414,3
Santa,f,food.washing,14,1,0.866666667,0.866666667,3
Whitney,f,food.washing,1,8,-0.777777778,0.777777778,3
Yaiko,f,food.washing,19,0,1,1,3
Iyla,f,food.washing,37,0,1,1,4
Kal,m,food.washing,26,0,1,1,4
Naina,f,food.washing,31,0,1,1,4
