subj.id,sex,behavior,right.hand,left.hand,HI,abs.HI,N
Rambo,m,oyster.processing,0,3,-1,1,1
Belanda,m,oyster.processing,11,0,1,1,3
Tin_tin,m,oyster.processing,41,0,1,1,3
Manee,f,oyster.processing,238,0,1,1,4
Kal,m,oyster.processing,206,0,1,1,5
Ali,m,oyster.processing,114,0,1,1,7
Bat,m,oyster.processing,285,0,1,1,9
Tutu,m,oyster.processing,359,2,0.988919668,0.988919668,9
Pat,m,oyster.processing,129,0,1,1,11
Oreo,f,oyster.processing,0,399,-1,1,14
Ted,m,oyster.processing,247,0,1,1,14
Betina,f,oyster.processing,0,224,-1,1,15
Pinky,f,oyster.processing,661,0,1,1,19
Taipan,f,oyster.processing,867,0,1,1,20
Santa,f,oyster.processing,0,577,-1,1,21
Babosa,m,oyster.processing,495,384,0.126279863,0.126279863,23
Cacao,f,oyster.processing,947,0,1,1,27
Harley,f,oyster.processing,0,1106,-1,1,29
Flame,f,oyster.processing,0,1241,-1,1,30
Iyla,f,oyster.processing,829,0,1,1,32
Jim_lim,f,oyster.processing,0,1177,-1,1,36
Robin,f,oyster.processing,0,1413,-1,1,37
Dandi,f,oyster.processing,0,568,-1,1,38
Lip,f,oyster.processing,0,2350,-1,1,38
Vula,f,oyster.processing,0,2107,-1,1,38
Naina,f,oyster.processing,0,1064,-1,1,39
Whitney,f,oyster.processing,1577,0,1,1,40
Yaiko,f,oyster.processing,1276,0,1,1,40
Aura,f,oyster.processing,1399,0,1,1,41
Quindoline,f,oyster.processing,1836,1,0.998911268,0.998911268,44
Granny,f,oyster.processing,0,1228,-1,1,46
Kaya,f,oyster.processing,0,2195,-1,1,49
