subj.id,sex,behavior,right.hand,left.hand,HI,abs.HI,N
Aura,f,rubbing,5,15,-0.5,0.5,3
Babosa,m,rubbing,2,2,0.0,0.0,2
Belanda,m,rubbing,22,0,1.0,1.0,1
Cacao,f,rubbing,38,10,0.5833333333333334,0.5833333333333334,2
Dandi,f,rubbing,4,2,0.3333333333333333,0.3333333333333333,1
Granny,f,rubbing,101,67,0.20238095238095238,0.20238095238095238,5
Harley,f,rubbing,14,10,0.16666666666666666,0.16666666666666666,1
Iyla,f,rubbing,122,53,0.3942857142857143,0.3942857142857143,5
Jim_lim,f,rubbing,103,54,0.31210191082802546,0.31210191082802546,6
Kaya,f,rubbing,25,20,0.1111111111111111,0.1111111111111111,2
Lip,f,rubbing,18,14,0.125,0.125,1
Naina,f,rubbing,9,9,0.0,0.0,1
Oreo,f,rubbing,12,6,0.3333333333333333,0.3333333333333333,1
Pat,m,rubbing,2,3,-0.2,0.2,1
Pinky,f,rubbing,35,30,0.07692307692307693,0.07692307692307693,2
Quindoline,f,rubbing,53,47,0.06,0.06,3
Robin,f,rubbing,62,23,0.4588235294117647,0.4588235294117647,4
Santa,f,rubbing,4,0,1.0,1.0,1
Taipan,f,rubbing,16,16,0.0,0.0,3
Tutu,m,rubbing,3,3,0.0,0.0,1
Vula,f,rubbing,20,35,-0.2727272727272727,0.2727272727272727,4
Whitney,f,rubbing,13,19,-0.1875,0.1875,1
Yaiko,f,rubbing,31,17,0.2916666666666667,0.2916666666666667,7
