subj.id,sex,behavior,right.hand,left.hand,HI,abs.HI,N
Ali,m,nut.cracking,3,0,1,1,1
Cacao,f,nut.cracking,1,0,1,1,1
Eina,f,nut.cracking,1,0,1,1,1
Flame,f,nut.cracking,0,1,-1,1,1
Lip,f,nut.cracking,0,1,-1,1,1
Santa,f,nut.cracking,0,1,-1,1,1
Who,m,nut.cracking,0,1,-1,1,1
Yaiko,f,nut.cracking,1,0,1,1,1
Belanda,m,nut.cracking,2,0,1,1,2
Betina,f,nut.cracking,0,3,-1,1,2
Harley,f,nut.cracking,0,2,-1,1,2
Oreo,f,nut.cracking,0,2,-1,1,2
Taipan,f,nut.cracking,3,0,1,1,2
Vula,f,nut.cracking,0,3,-1,1,2
Kaya,f,nut.cracking,1,6,-0.714285714,0.714285714,3
Pat,m,nut.cracking,5,0,1,1,3
Bat,m,nut.cracking,4,0,1,1,4
Boss,m,nut.cracking,19,0,1,1,4
Robin,f,nut.cracking,0,4,-1,1,4
Whitney,f,nut.cracking,5,0,1,1,4
Iyla,f,nut.cracking,5,0,1,1,5
Ted,m,nut.cracking,12,0,1,1,6
Naina,f,nut.cracking,0,9,-1,1,7
Pinky,f,nut.cracking,8,0,1,1,7
Kal,m,nut.cracking,13,0,1,1,8
Quindoline,f,nut.cracking,11,0,1,1,8
Dandi,f,nut.cracking,0,19,-1,1,10
Granny,f,nut.cracking,0,18,-1,1,11
