subj.id,task_0.2,task_0.4,task_0.6,task_0.8,task_0,total_tasks_present
Ali,1,1,1,5,0,4
Aura,4,1,0,32,1,4
Babosa,4,3,0,15,1,4
Bat,0,0,3,9,0,2
Belanda,8,1,2,3,0,4
Betina,2,1,1,12,0,4
Boss,0,0,5,0,0,1
Cacao,1,1,1,18,1,5
Dandi,8,2,6,21,0,4
Eina,0,0,1,0,0,1
Flame,5,1,1,28,0,4
Granny,9,3,13,30,1,5
Harley,6,2,2,19,1,5
Iyla,10,4,5,22,3,5
Jim_lim,2,2,0,27,3,4
Kal,1,4,11,5,0,4
Kaya,1,1,1,28,1,5
Lip,3,3,0,32,1,4
Naina,2,4,8,29,0,4
Oreo,2,2,2,12,1,5
Pat,3,3,5,11,2,5
Pinky,5,2,7,18,3,5
Quindoline,10,0,10,26,2,4
Rambo,0,0,0,1,0,1
Robin,6,1,4,23,3,5
Santa,1,3,1,19,1,5
Taipan,0,2,2,15,2,4
Ted,3,2,11,13,0,4
Tin_tin,1,0,0,3,0,2
Tutu,2,0,0,9,0,2
Vula,1,1,2,26,2,5
Whitney,1,3,1,28,0,4
Who,0,0,1,0,0,1
Yaiko,3,3,0,27,2,4
