subj.id,focal.id,date,time,success,video,strikes,right.hand,left.hand,both.hands,total,comments,behavior,species
Ali,54,2024.04.12,15:06:32,Y,,2,1,0,0,1,,nut.cracking,Terminalia catappa
Ali,54,2024.04.12,15:07:08,Y,,6,1,0,0,1,,nut.cracking,Terminalia catappa
Ali,54,2024.04.12,15:07:45,Y,,7,1,0,0,1,,nut.cracking,Terminalia catappa
Bat,,2024.10.26,11:30:00,Y,Y,22,1,0,0,1,hammer.id = A008,nut.cracking,Terminalia catappa
Bat,653,2024.10.26,11:29:44,Y,,21,1,0,0,1,,nut.cracking,Terminalia catappa
Bat,,2024.10.30,,Y,Y,36,1,0,0,1,hammer.id = A008,nut.cracking,Terminalia catappa
Bat,,2025.02.16,14:38,Y,Y,14,1,0,0,1,,nut.cracking,Terminalia catappa
Belanda,,2024.07.02,,Y,Y,17,1,0,0,1,hammer.id = A002,nut.cracking,Terminalia catappa
Belanda,,2024.09.12,,Y,Y,31,1,0,0,1,hammer.id = B003,nut.cracking,Terminalia catappa
Betina,694,2024.11.01,16:13:16,N,,4,0,1,0,1,,nut.cracking,Terminalia catappa
Boss,1,2025.02.21,12:25,Y,Y,19,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,1,2025.02.21,12:26,Y,Y,13,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,1,2025.02.21,12:28,Y,Y,4,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,1,2025.02.21,12:30,Y,Y,4,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,1,2025.02.21,12:31,Y,Y,12,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,2,2025.02.22,10:54,Y,Y,6,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,2,2025.02.22,10:55,Y,Y,4,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,2,2025.02.22,10:56,Y,Y,5,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,2,2025.02.22,10:58,Y,Y,6,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,2,2025.02.22,10:59,Y,Y,5,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,3,2025.02.22,12:53:12,Y,Y,16,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,3,2025.02.22,12:54:32,Y,Y,4,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,3,2025.02.22,12:55:52,Y,Y,20,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,3,2025.02.22,12:58:22,Y,Y,27,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,3,2025.02.22,13:00:55 PM,Y,Y,17,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,4,2025.02.24,11:40:38,Y,Y,40,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,4,2025.02.24,11:43:47,Y,Y,27,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,4,2025.02.24,11:44:20,Y,Y,19,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Boss,4,2025.02.24,11:44:50,Y,Y,19,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Cacao,,2025.03.15,12:52:45,Y,Y,72,1,0,0,1,hammer.id = F018,nut.cracking,Terminalia catappa
Dandi,667,2024.10.28,16:45:15,,,,0,1,0,1,,nut.cracking,Terminalia catappa
Dandi,667,2024.10.28,16:46:08,Y,,28,0,1,0,1,,nut.cracking,Terminalia catappa
Dandi,693,2024.11.01,15:23:16,Y,,19,0,1,0,1,,nut.cracking,Terminalia catappa
Dandi,,2024.11.04,,N,Y,11,0,1,0,1,hammer.id = A004,nut.cracking,Terminalia catappa
Dandi,734,2024.11.12,9:48:04,Y,,20,0,1,0,1,,nut.cracking,Terminalia catappa
Dandi,,2024.12.15,,Y,Y,80,0,1,0,1,hammer.id = A008,nut.cracking,Terminalia catappa
Dandi,922,2024.12.15,10:17:32,N,,1,0,1,0,1,,nut.cracking,Terminalia catappa
Dandi,922,2024.12.15,10:21:59,N,,17,0,1,0,1,,nut.cracking,Terminalia catappa
Dandi,922,2024.12.15,10:29:23,Y,,82,0,1,0,1,,nut.cracking,Terminalia catappa
Eina,,2024.11.12,,Y,Y,48,1,0,0,1,hammer.id = nan,nut.cracking,Terminalia catappa
Flame,117,2024.05.10,7:39:24,Y,,15,0,1,0,1,,nut.cracking,Terminalia catappa
Granny,22,2024.04.04,12:12:29,N,,7,0,1,0,1,,nut.cracking,Terminalia catappa
Granny,22,2024.04.04,12:15:18,Y,,13,0,1,0,1,,nut.cracking,Terminalia catappa
Granny,,2024.10.21,,Y,Y,5,0,1,0,1,hammer.id = F002,nut.cracking,Terminalia catappa
Granny,,2024.10.23,,Y,Y,20,0,1,0,1,hammer.id = F003,nut.cracking,Terminalia catappa
Granny,,2024.10.23,,Y,Y,51,0,1,0,1,hammer.id = F003,nut.cracking,Terminalia catappa
Granny,,2024.10.23,,Y,Y,33,0,1,0,1,hammer.id = F003,nut.cracking,Terminalia catappa
Granny,,2024.11.06,,Y,Y,20,0,1,0,1,hammer.id = F012,nut.cracking,Terminalia catappa
Granny,802,2024.11.21,11:40:53,Y,,17,0,1,0,1,,nut.cracking,Terminalia catappa
Granny,802,2024.11.21,11:42:26,Y,,8,0,1,0,1,,nut.cracking,Terminalia catappa
Granny,802,2024.11.21,11:47:00,Y,,24,0,1,0,1,,nut.cracking,Terminalia catappa
Granny,,2024.12.09,,Y,Y,16,0,1,0,1,hammer.id = F020,nut.cracking,Terminalia catappa
Granny,,2025.01.27,,Y,Y,18,0,1,0,1,hammer.id = F022,nut.cracking,Terminalia catappa
Granny,,2025.01.27,,Y,Y,43,0,1,0,1,hammer.id = F022,nut.cracking,Terminalia catappa
Granny,,2025.01.27,,Y,Y,28,0,1,0,1,hammer.id = F022,nut.cracking,Terminalia catappa
Granny,,2025.01.31,,Y,Y,9,0,1,0,1,hammer.id = F023,nut.cracking,Terminalia catappa
Granny,,2025.02.02,,Y,Y,32,0,1,0,1,hammer.id = F022,nut.cracking,Terminalia catappa
Harley,,2024.11.01,,N,Y,38,0,1,0,1,hammer.id = F009,nut.cracking,Terminalia catappa
Harley,691,2024.11.01,14:36:09,Y,,77,0,1,0,1,,nut.cracking,Terminalia catappa
Iyla,,2024.10.26,,Y,Y,,1,0,0,1,hammer.id = F004,nut.cracking,Terminalia catappa
Iyla,,2024.11.06,,Y,Y,36,1,0,0,1,hammer.id = A006,nut.cracking,Terminalia catappa
Iyla,,2024.11.22,,Y,Y,18,1,0,0,1,hammer.id = A019,nut.cracking,Terminalia catappa
Iyla,948,2024.12.18,15:36:49,Y,,76,1,0,0,1,,nut.cracking,Terminalia catappa
Iyla,,2025.03.03,,Y,Y,11,1,0,0,1,hammer.id = F025,nut.cracking,Terminalia catappa
Kal,,2024.09.10,,Y,Y,20,1,0,0,1,hammer.id = A005,nut.cracking,Terminalia catappa
Kal,,2024.09.10,,Y,Y,20,1,0,0,1,hammer.id = A003,nut.cracking,Terminalia catappa
Kal,,2024.11.15,,Y,Y,13,1,0,0,1,hammer.id = A012,nut.cracking,Terminalia catappa
Kal,,2024.12.09,,Y,Y,6,1,0,0,1,hammer.id = A024,nut.cracking,Terminalia catappa
Kal,,2024.12.09,,Y,Y,13,1,0,0,1,hammer.id = A024,nut.cracking,Terminalia catappa
Kal,,2024.12.09,,Y,Y,10,1,0,0,1,hammer.id = A024,nut.cracking,Terminalia catappa
Kal,,2024.12.16,,Y,Y,15,1,0,0,1,hammer.id = A025,nut.cracking,Terminalia catappa
Kal,,2025.01.12,,Y,Y,25,1,0,0,1,hammer.id = A027,nut.cracking,Terminalia catappa
Kal,,2025.01.27,14:48:00,Y,Y,14,1,0,0,1,hammer.id = F022,nut.cracking,Terminalia catappa
Kal,,2025.01.27,14:48:00,Y,Y,10,1,0,0,1,hammer.id = F022,nut.cracking,Terminalia catappa
Kal,,2025.01.27,14:48:00,Y,Y,19,1,0,0,1,hammer.id = F022,nut.cracking,Terminalia catappa
Kal,,2025.02.02,14:48:00,Y,Y,18,1,0,0,1,hammer.id = F022,nut.cracking,Terminalia catappa
Kal,,2023.05.13,11:30,Y,Y,12,1,0,0,1,,nut.cracking,Terminalia catappa
Kaya,1172,2025.02.11,9:56:54,Y,,11,0,1,0,1,,nut.cracking,Terminalia catappa
Kaya,1172,2025.02.11,9:58:59,Y,,11,0,1,0,1,,nut.cracking,Terminalia catappa
Kaya,1172,2025.02.11,10:02:58,Y,,1,0,1,0,1,,nut.cracking,Terminalia catappa
Naina,231,2024.06.05,14:52:18,Y,,17,0,1,0,1,,nut.cracking,Terminalia catappa
Naina,,2024.08.22,,Y,Y,12,0,1,0,1,hammer.id = A004,nut.cracking,Terminalia catappa
Naina,,2024.10.23,,Y,Y,64,0,1,0,1,hammer.id = A010,nut.cracking,Terminalia catappa
Naina,,2024.10.26,,Y,Y,34,0,1,0,1,hammer.id = B006,nut.cracking,Terminalia catappa
Naina,,2024.10.28,,Y,Y,18,0,1,0,1,hammer.id = A009,nut.cracking,Terminalia catappa
Naina,,2024.10.28,,Y,Y,33,0,1,0,1,hammer.id = A009,nut.cracking,Terminalia catappa
Naina,,2025.03.09,,Y,Y,32,0,1,0,1,hammer.id = A031,nut.cracking,Terminalia catappa
Naina,,2025.03.09,15:00,Y,Y,36,0,1,0,1,hammer.id = A031,nut.cracking,Terminalia catappa
Oreo,,2024.10.23,,Y,Y,,0,1,0,1,hammer.id = P009,nut.cracking,Terminalia catappa
Oreo,,2024.11.12,,Y,Y,63,0,1,0,1,hammer.id = nan,nut.cracking,Terminalia catappa
Pat,688,2024.10.30,14:56:01,Y,,8,1,0,0,1,,nut.cracking,Terminalia catappa
Pat,,2024.11.15,,Y,Y,33,1,0,0,1,hammer.id = A012,nut.cracking,Terminalia catappa
Pat,,2024.11.15,,Y,Y,19,1,0,0,1,hammer.id = A012,nut.cracking,Terminalia catappa
Pat,,2024.11.15,,Y,Y,19,1,0,0,1,hammer.id = A012,nut.cracking,Terminalia catappa
Pat,1231,2025.02.22,16:14:42,Y,,22,1,0,0,1,,nut.cracking,Terminalia catappa
Pinky,,2024.06.29,,Y,N,12,1,0,0,1,hammer.id = A001,nut.cracking,Terminalia catappa
Pinky,,2024.10.23,,Y,Y,,1,0,0,1,hammer.id = U004,nut.cracking,Terminalia catappa
Pinky,665,2024.10.28,16:01:26,Y,,10,1,0,0,1,,nut.cracking,Terminalia catappa
Pinky,,2024.12.09,,Y,Y,18,1,0,0,1,hammer.id = F019,nut.cracking,Terminalia catappa
Pinky,,2025.01.11,8:38:00,Y,Y,3,1,0,0,1,heavy hammerstone,nut.cracking,Terminalia catappa
Pinky,,2025.02.27,11:52:00,Y,Y,14,1,0,0,1,,nut.cracking,Terminalia catappa
Pinky,,2025.03.06,16:51,Y,Y,10,1,0,0,1,,nut.cracking,Terminalia catappa
Pinky,,2025.03.06,16:52:05,Y,Y,11,1,0,0,1,,nut.cracking,Terminalia catappa
Quindoline,268,2024.06.14,12:59:56,Y,,23,1,0,0,1,,nut.cracking,Terminalia catappa
Quindoline,290,2024.06.18,12:52:47,Y,,29,1,0,0,1,,nut.cracking,Terminalia catappa
Quindoline,811,2024.11.22,11:15:53,N,,14,1,0,0,1,,nut.cracking,Terminalia catappa
Quindoline,,2024.12.02,,Y,Y,22,1,0,0,1,hammer.id = A022,nut.cracking,Terminalia catappa
Quindoline,,2024.12.02,,Y,Y,25,1,0,0,1,hammer.id = A022,nut.cracking,Terminalia catappa
Quindoline,,2024.12.02,16:10:00,Y,Y,38,1,0,0,1,hammer.id = F018,nut.cracking,Terminalia catappa
Quindoline,,2024.12.15,,Y,Y,34,1,0,0,1,hammer.id = A008,nut.cracking,Terminalia catappa
Quindoline,,2024.12.15,,Y,Y,50,1,0,0,1,hammer.id = A008,nut.cracking,Terminalia catappa
Quindoline,,2025.02.11,9:10,Y,Y,33,1,0,0,1,hammer.id = F021,nut.cracking,Terminalia catappa
Quindoline,,2025.03.06,14:41,Y,Y,19,1,0,0,1,,nut.cracking,Terminalia catappa
Robin,,2024.08.10,,Y,Y,,0,1,0,1,hammer.id = B001,nut.cracking,Terminalia catappa
Robin,,2025.01.03,,Y,Y,21,0,1,0,1,hammer.id = A026,nut.cracking,Terminalia catappa
Robin,1281,2025.03.05,15:18:53,Y,,57,0,1,0,1,,nut.cracking,Terminalia catappa
Robin,,2023.11.03,12:25,Y,Y,10,0,1,0,1,,nut.cracking,Terminalia catappa
Santa,676,2024.10.29,16:49:34,Y,,30,0,1,0,1,,nut.cracking,Terminalia catappa
Taipan,357,2024.07.23,15:49:10,Y,,7,1,0,0,1,,nut.cracking,Terminalia catappa
Taipan,357,2024.07.23,15:50:10,Y,,12,1,0,0,1,,nut.cracking,Terminalia catappa
Taipan,804,2024.11.21,16:16:06,N,,39,1,0,0,1,,nut.cracking,Terminalia catappa
Ted,,2024.10.23,,Y,Y,,1,0,0,1,hammer.id = P011,nut.cracking,Terminalia catappa
Ted,,2024.10.30,,Y,Y,20,1,0,0,1,hammer.id = A008,nut.cracking,Terminalia catappa
Ted,,2024.10.30,,Y,Y,23,1,0,0,1,hammer.id = A008,nut.cracking,Terminalia catappa
Ted,,2024.11.04,,Y,Y,25,1,0,0,1,hammer.id = A004,nut.cracking,Terminalia catappa
Ted,,2024.11.04,,Y,Y,31,1,0,0,1,hammer.id = A004,nut.cracking,Terminalia catappa
Ted,768,2024.11.16,8:31:43,Y,,98,1,0,0,1,,nut.cracking,Terminalia catappa
Ted,768,2024.11.16,8:35:59,Y,,47,1,0,0,1,,nut.cracking,Terminalia catappa
Ted,,2024.11.18,,Y,Y,16,1,0,0,1,hammer.id = A013,nut.cracking,Terminalia catappa
Ted,,2024.11.18,,Y,Y,6,1,0,0,1,hammer.id = A013,nut.cracking,Terminalia catappa
Ted,,2024.11.22,,Y,Y,16,1,0,0,1,hammer.id = A018,nut.cracking,Terminalia catappa
Ted,,2024.11.22,,Y,Y,20,1,0,0,1,hammer.id = A018,nut.cracking,Terminalia catappa
Ted,,2024.11.22,,Y,Y,24,1,0,0,1,hammer.id = A018,nut.cracking,Terminalia catappa
Vula,603,2024.09.10,12:32:51,Y,,18,0,1,0,1,,nut.cracking,Terminalia catappa
Vula,603,2024.09.10,12:33:45,Y,,21,0,1,0,1,,nut.cracking,Terminalia catappa
Vula,1010,2025.01.05,10:15:52,Y,,30,0,1,0,1,,nut.cracking,Terminalia catappa
Whitney,,2025.03.07,14:54,Y,Y,54,1,0,0,1,hammer.id = A050,nut.cracking,Terminalia catappa
Who,,2024.11.04,,N,Y,1,0,1,0,1,hammer.id = A004,nut.cracking,Terminalia catappa
