subj.id,focal.id,date,right.hand,left.hand,both.hands,total,comments
Aura,1226,2025.02.22,1,11,0,12,
Babosa,1358,2025.03.26,1,0,0,1,
Cacao,1261,2025.03.02,37,6,1,44,
Granny,166,2024.05.20,23,11,3,37,
Harley,1304,2025.03.10,8,4,6,18,
Iyla,140,2024.05.14,42,5,0,47,
Iyla,164,2024.05.20,3,1,3,7,
Iyla,1357,2025.03.24,26,10,1,37,
Jim_lim,163,2024.05.20,16,4,0,20,
Jim_lim,1279,2025.03.05,17,6,0,23,
Jim_lim,video,2025.03.20,1,0,6,17,
Kaya,1334,2025.03.20,2,3,4,9,
Lip,1356,2025.03.24,9,5,9,23,
Oreo,1341,2025.03.20,9,3,3,15,
Pat,177,2024.05.21,5,1,0,6,
Pat,1337,2025.03.20,2,3,0,5,
Pinky,44,2024.04.11,19,0,0,19,
Pinky,167,2024.05.20,0,0,1,1,
Pinky,1349,2025.03.23,1,0,6,7,
Quindoline,1280,2025.03.05,8,5,4,17,
Quindoline,1350,2025.03.23,5,7,4,16,
Robin,video,2025.02.26,22,4,1,27,right - left - right
Robin,1266,2025.03.02,1,0,0,1,
Robin,1340,2025.03.20,19,3,10,32,
Santa,1223,2025.02.22,4,0,0,4,
Taipan,108,2024.05.09,2,2,5,9,
Taipan,1303,2025.03.10,0,1,5,6,
Vula,165,2024.05.20,1,3,0,4,
Vula,1338,2025.03.20,4,16,0,20,
Yaiko,1342,2025.03.20,2,0,0,2,
Yaiko,video,2025.03.12,5,1,0,6,
