subj.id,focal.id,date,time,success,video,strikes,right.hand,left.hand,both.hands,total,comments,behavior,species
Ali,,2025.01.08,,Y,,NA,6,0,0,6,,food.washing,Sonnertia alba
Aura,,2025.01.12,,Y,,NA,6,0,0,6,,food.washing,Sonnertia alba
Babosa,,2025.01.06,,Y,,NA,0,8,0,8,,food.washing,Sonnertia alba
Babosa,,2025.01.08,,Y,,NA,0,3,0,3,,food.washing,Sonnertia alba
Babosa,1346,2025.03.21,,Y,,NA,1,0,0,1,,food.washing,Sonnertia alba
Belanda,,2025.01.08,,Y,,NA,0,14,1,15,,food.washing,Sonnertia alba
Betina,934,2024.12.16,,Y,,NA,1,0,0,1,,food.washing,Sonnertia alba
Cacao,,2025.01.11,,Y,,NA,0,4,1,5,,food.washing,Sonnertia alba
Dandi,,2025.01.05,,Y,,NA,0,3,0,3,,food.washing,Sonnertia alba
Dandi,,2025.01.06,,Y,,NA,0,2,0,2,,food.washing,Sonnertia alba
Flame,,2025.01.12,,Y,,NA,5,0,0,5,,food.washing,Sonnertia alba
Granny,,2025.01.11,,Y,,NA,5,0,0,5,,food.washing,Sonnertia alba
Granny,,2025.01.12,,Y,,NA,5,0,0,5,,food.washing,Sonnertia alba
Granny,,2025.02.22,,Y,,NA,4,0,1,5,,food.washing,Sonnertia alba
Harley,951,2024.12.19,,Y,,NA,3,0,0,3,,food.washing,Sonnertia alba
Harley,,2024.12.20,,Y,,NA,1,0,0,1,,food.washing,Sonnertia alba
Iyla,,2025.01.01,,Y,,NA,4,0,0,4,,food.washing,Sonnertia alba
Iyla,,2025.01.02,,Y,,NA,3,0,0,3,,food.washing,Sonnertia alba
Iyla,,2025.01.06,,Y,,NA,8,0,0,8,,food.washing,Sonnertia alba
Iyla,,2025.01.15,,Y,,NA,22,0,0,22,,food.washing,Sonnertia alba
Jim_lim,,2025.01.12,,Y,,NA,0,6,0,6,,food.washing,Sonnertia alba
Jim_lim,628,2024.10.23,,Y,,NA,0,1,0,1,,food.washing,Sonnertia alba
Kal,,2025.01.05,,Y,,NA,2,0,0,2,,food.washing,Sonnertia alba
Kal,,2025.01.06,,Y,,NA,10,0,0,10,,food.washing,Sonnertia alba
Kal,,2025.01.11,,Y,,NA,6,0,0,6,,food.washing,Sonnertia alba
Kal,,2025.01.26,,Y,,NA,8,0,0,8,,food.washing,Sonnertia alba
Kaya,,2025.01.15,,Y,,NA,1,0,0,1,,food.washing,Sonnertia alba
Lip,,2025.01.06,,Y,,NA,0,17,0,17,,food.washing,Sonnertia alba
Lip,,2025.01.12,,Y,,NA,0,16,0,16,,food.washing,Sonnertia alba
Lip,,2025.01.15,,Y,,NA,0,11,0,11,,food.washing,Sonnertia alba
Naina,,2024.12.30,,Y,,NA,1,0,0,1,,food.washing,Sonnertia alba
Naina,,2025.01.15,,Y,,NA,18,0,0,18,,food.washing,Sonnertia alba
Naina,,2025.01.19,,Y,,NA,11,0,0,11,,food.washing,Sonnertia alba
Naina,1320,2025.03.14,,Y,,NA,1,0,0,1,,food.washing,Sonnertia alba
Oreo,,2025.01.20,,Y,,NA,9,3,2,14,,food.washing,Sonnertia alba
Oreo,8:28,2024.06.29,,Y,,NA,1,0,0,1,from the video. She washed sea almond nut,food.washing,Sonnertia alba
Pat,,2025.01.06,,Y,,NA,6,0,0,6,,food.washing,Sonnertia alba
Pat,,2025.01.12,,Y,,NA,1,0,0,1,,food.washing,Sonnertia alba
Pat,,2025.01.15,,Y,,NA,12,0,5,17,,food.washing,Sonnertia alba
Pinky,,2025.01.11,,Y,,NA,2,0,0,2,,food.washing,Sonnertia alba
Pinky,,2025.02.22,,Y,,NA,4,0,1,5,,food.washing,Sonnertia alba
Robin,,2025.01.11,,Y,,NA,26,0,0,26,,food.washing,Sonnertia alba
Santa,,2025.01.13,,Y,,NA,7,0,0,7,,food.washing,Sonnertia alba
Santa,1223,2025.02.22,,Y,,NA,4,0,0,4,,food.washing,Sonnertia alba
Santa,,2025.02.22,,Y,,NA,5,0,1,6,,food.washing,Sonnertia alba
Taipan,,2025.01.08,,Y,,NA,0,12,2,14,,food.washing,Sonnertia alba
Taipan,,2025.01.12,,Y,,NA,0,7,5,12,,food.washing,Sonnertia alba
Ted,,2025.01.06,,Y,,NA,0,1,0,1,,food.washing,Sonnertia alba
Ted,,2025.01.08,,Y,,NA,0,3,0,3,,food.washing,Sonnertia alba
Vula,,2025.01.02,,Y,,NA,7,0,2,9,,food.washing,Sonnertia alba
Whitney,,2025.01.08,,Y,,NA,0,7,0,7,,food.washing,Sonnertia alba
Whitney,,2025.01.12,,Y,,NA,0,1,0,1,,food.washing,Sonnertia alba
Whitney,,2025.01.19,,Y,,NA,1,0,0,1,,food.washing,Sonnertia alba
Yaiko,,2024.12.30,,Y,,NA,7,0,0,7,,food.washing,Sonnertia alba
Yaiko,,2025.01.12,,Y,,NA,2,0,0,2,,food.washing,Sonnertia alba
Yaiko,,2025.01.15,,Y,,NA,10,0,0,10,,food.washing,Sonnertia alba
